Task,TapTime,Milliseconds
2025-01-31 10:38:35,10:38:37.540,283
2025-01-31 10:38:35,10:38:39.806,299
2025-01-31 10:38:35,10:38:44.139,316
2025-01-31 10:38:35,10:38:47.305,399
2025-01-31 10:38:35,10:38:50.605,278
2025-01-31 10:38:35,10:38:52.855,499
2025-01-31 10:38:35,10:38:56.288,249
2025-01-31 10:38:35,10:38:59.855,0
2025-01-31 10:38:35,10:39:02.071,333
2025-01-31 10:38:35,10:39:04.688,283
2025-01-31 10:38:35,10:39:08.137,299
2025-01-31 10:38:35,10:39:10.620,449
2025-01-31 10:38:35,10:39:12.770,283
2025-01-31 10:38:35,10:39:17.170,333
2025-01-31 10:38:35,10:39:20.103,333
2025-01-31 10:38:35,10:39:22.353,299
2025-01-31 10:38:35,10:39:26.436,310
2025-01-31 10:38:35,10:39:30.469,233
2025-01-31 10:38:35,10:39:33.718,316
2025-01-31 10:38:35,10:39:36.869,0
2025-01-31 10:38:35,10:39:41.568,333
2025-01-31 10:38:35,10:39:43.751,366
2025-01-31 10:38:35,10:39:45.834,316
2025-01-31 10:38:35,10:39:50.150,299
2025-01-31 10:38:35,10:39:52.617,299
2025-01-31 10:38:35,10:39:55.200,283
2025-01-31 10:38:35,10:39:58.600,333
2025-01-31 10:38:35,10:40:02.566,266
2025-01-31 10:38:35,10:40:04.966,316
2025-01-31 10:38:35,10:40:08.599,266
2025-01-31 10:38:35,10:40:11.115,283
2025-01-31 10:38:35,10:40:13.665,266
2025-01-31 10:38:35,10:40:15.815,283
2025-01-31 10:38:35,10:40:17.765,299
2025-01-31 10:38:35,10:40:20.032,0
2025-01-31 10:38:35,10:40:22.131,314
2025-01-31 10:38:35,10:40:25.864,349
2025-01-31 10:38:35,10:40:28.881,283
2025-01-31 10:38:35,10:40:33.630,366
2025-01-31 10:38:35,10:40:37.530,305
2025-01-31 10:38:35,10:40:40.596,333
2025-01-31 10:38:35,10:40:43.412,316
2025-01-31 10:38:35,10:40:47.296,333
2025-01-31 10:38:35,10:40:50.612,349
2025-01-31 10:38:35,10:40:53.845,283
2025-01-31 10:38:35,10:40:56.178,349
2025-01-31 10:38:35,10:40:58.895,0
2025-01-31 10:38:35,10:41:03.094,349
2025-01-31 10:38:35,10:41:08.077,366
2025-01-31 10:38:35,10:41:10.077,483
2025-01-31 10:38:35,10:41:13.909,349
2025-01-31 10:38:35,10:41:18.610,349
2025-01-31 10:38:35,10:41:20.676,416
2025-01-31 10:38:35,10:41:24.142,349
2025-01-31 10:38:35,10:41:26.676,424
2025-01-31 10:38:35,10:41:31.575,316
2025-01-31 10:38:35,10:41:35.758,299
2025-01-31 10:38:35,10:41:39.125,333
2025-01-31 10:38:35,10:41:42.124,266
2025-01-31 10:38:35,10:41:46.341,299
2025-01-31 10:38:35,10:41:48.341,0
2025-01-31 10:38:35,10:41:52.440,299
2025-01-31 10:38:35,10:41:55.940,333
2025-01-31 10:38:35,10:42:00.406,266
2025-01-31 10:38:35,10:42:04.972,349
2025-01-31 10:38:35,10:42:07.289,383
2025-01-31 10:38:35,10:42:10.889,299
2025-01-31 10:38:35,10:42:14.588,299
2025-01-31 10:38:35,10:42:17.671,349
2025-01-31 10:38:35,10:42:20.904,316
2025-01-31 10:38:35,10:42:23.138,283
2025-01-31 10:38:35,10:42:26.171,333
2025-01-31 10:38:35,10:42:30.587,349
2025-01-31 10:38:35,10:42:33.753,349
2025-01-31 10:38:35,10:42:36.886,299
2025-01-31 10:38:35,10:42:39.186,349
2025-01-31 10:38:35,10:42:43.069,249
2025-01-31 10:38:35,10:42:45.119,466
2025-01-31 10:38:35,10:42:48.052,341
2025-01-31 10:38:35,10:42:52.235,333
2025-01-31 10:38:35,10:42:56.585,316
2025-01-31 10:38:35,10:43:01.284,299
2025-01-31 10:38:35,10:43:04.467,333
2025-01-31 10:38:35,10:43:07.800,299
2025-01-31 10:38:35,10:43:10.767,299
2025-01-31 10:38:35,10:43:12.917,383
2025-01-31 10:38:35,10:43:16.366,324
2025-01-31 10:38:35,10:43:20.432,299
2025-01-31 10:38:35,10:43:23.832,266
2025-01-31 10:38:35,10:43:27.715,366
2025-01-31 10:38:35,10:43:31.098,266
2025-01-31 10:38:35,10:43:35.232,333
2025-01-31 10:38:35,10:43:37.781,333
2025-01-31 10:38:35,10:43:41.098,349
2025-01-31 10:38:35,10:43:45.714,331
2025-01-31 10:38:35,10:43:50.180,333
2025-01-31 10:38:35,10:43:52.530,483
2025-01-31 10:38:35,10:43:54.946,383
2025-01-31 10:38:35,10:43:57.880,0
2025-01-31 10:38:35,10:44:02.146,299
2025-01-31 10:38:35,10:44:07.129,312
2025-01-31 10:38:35,10:44:10.962,349
2025-01-31 10:38:35,10:44:13.295,383
2025-01-31 10:38:35,10:44:18.095,283
2025-01-31 10:38:35,10:44:23.077,349
2025-01-31 10:38:35,10:44:27.277,333
2025-01-31 10:38:35,10:44:30.610,316
2025-01-31 10:38:35,10:44:33.410,316
2025-01-31 10:38:35,10:44:36.926,333
2025-01-31 10:38:35,10:44:39.776,349
2025-01-31 10:38:35,10:44:44.192,316
2025-01-31 10:38:35,10:44:46.342,466
2025-01-31 10:38:35,10:44:49.142,283
2025-01-31 10:38:35,10:44:51.991,296
2025-01-31 10:38:35,10:44:54.875,316
2025-01-31 10:38:35,10:44:59.091,299
2025-01-31 10:38:35,10:45:02.891,299
2025-01-31 10:38:35,10:45:04.990,349
2025-01-31 10:38:35,10:45:09.224,283
2025-01-31 10:38:35,10:45:11.773,333
2025-01-31 10:38:35,10:45:14.640,277
2025-01-31 10:38:35,10:45:19.006,281
2025-01-31 10:38:35,10:45:21.240,0
2025-01-31 10:38:35,10:45:24.205,296
2025-01-31 10:38:35,10:45:27.555,299
2025-01-31 10:38:35,10:45:30.188,304
2025-01-31 10:38:35,10:45:34.505,299
2025-01-31 10:38:35,10:45:37.588,399
2025-01-31 10:38:35,Sex,
2025-01-31 10:38:35,Test Duration in seconds,421
2025-01-31 10:38:35,Number of False Positives,7
2025-01-31 10:38:35,Average response time ,325
2025-01-31 10:38:35,Fastest response time ,233
2025-01-31 10:38:35,Slowest response time ,499
2025-01-31 10:38:35,Count of response time over 500ms ,0
