Task,TapTime,Milliseconds
2025-01-31 11:22:19,11:22:21.374,0
2025-01-31 11:22:19,11:22:23.873,333
2025-01-31 11:22:19,11:22:26.706,816
2025-01-31 11:22:19,11:22:28.973,0
2025-01-31 11:22:19,11:22:29.638,0
2025-01-31 11:22:19,11:22:31.573,0
2025-01-31 11:22:19,11:22:33.972,0
2025-01-31 11:22:19,11:22:39.038,599
2025-01-31 11:22:19,11:22:42.671,583
2025-01-31 11:22:19,11:22:45.304,333
2025-01-31 11:22:19,11:22:49.737,283
2025-01-31 11:22:19,11:22:52.521,333
2025-01-31 11:22:19,11:22:55.503,299
2025-01-31 11:22:19,11:22:57.587,433
2025-01-31 11:22:19,11:23:00.887,0
2025-01-31 11:22:19,11:23:04.320,0
2025-01-31 11:22:19,11:23:07.619,299
2025-01-31 11:22:19,11:23:11.819,283
2025-01-31 11:22:19,11:23:14.335,372
2025-01-31 11:22:19,11:23:16.902,366
2025-01-31 11:22:19,11:23:19.102,0
2025-01-31 11:22:19,11:23:20.418,0
2025-01-31 11:22:19,11:23:20.584,0
2025-01-31 11:22:19,11:23:20.767,0
2025-01-31 11:22:19,11:23:21.184,0
2025-01-31 11:22:19,11:23:21.802,0
2025-01-31 11:22:19,11:23:22.001,0
2025-01-31 11:22:19,11:23:23.268,0
2025-01-31 11:22:19,11:23:25.984,332
2025-01-31 11:22:19,11:23:28.401,566
2025-01-31 11:22:19,11:23:32.150,316
2025-01-31 11:22:19,11:23:33.867,0
2025-01-31 11:22:19,11:23:36.083,349
2025-01-31 11:22:19,11:23:38.050,0
2025-01-31 11:22:19,11:23:38.916,0
2025-01-31 11:22:19,11:23:41.017,0
2025-01-31 11:22:19,11:23:43.500,0
2025-01-31 11:22:19,11:23:45.483,333
2025-01-31 11:22:19,11:23:50.315,249
2025-01-31 11:22:19,11:23:53.032,433
2025-01-31 11:22:19,11:23:55.165,549
2025-01-31 11:22:19,11:23:57.565,166
2025-01-31 11:22:19,11:24:01.598,266
2025-01-31 11:22:19,11:24:03.531,383
2025-01-31 11:22:19,11:24:06.847,349
2025-01-31 11:22:19,11:24:10.347,149
2025-01-31 11:22:19,11:24:12.181,0
2025-01-31 11:22:19,11:24:14.614,0
2025-01-31 11:22:19,11:24:17.697,332
2025-01-31 11:22:19,11:24:21.879,732
2025-01-31 11:22:19,11:24:23.496,0
2025-01-31 11:22:19,11:24:27.762,333
2025-01-31 11:22:19,11:24:28.979,0
2025-01-31 11:22:19,11:24:30.496,0
2025-01-31 11:22:19,11:24:32.996,0
2025-01-31 11:22:19,11:24:35.528,299
2025-01-31 11:22:19,11:24:38.428,566
2025-01-31 11:22:19,11:24:42.345,332
2025-01-31 11:22:19,11:24:46.094,282
2025-01-31 11:22:19,11:24:48.144,0
2025-01-31 11:22:19,11:24:49.527,0
2025-01-31 11:22:19,11:24:54.893,1031
2025-01-31 11:22:19,11:24:55.077,0
2025-01-31 11:22:19,11:24:56.677,0
2025-01-31 11:22:19,11:24:56.876,0
2025-01-31 11:22:19,11:24:57.092,0
2025-01-31 11:22:19,11:24:58.127,0
2025-01-31 11:22:19,11:24:58.526,0
2025-01-31 11:22:19,11:25:00.943,0
2025-01-31 11:22:19,11:25:02.693,0
2025-01-31 11:22:19,11:25:06.126,382
2025-01-31 11:22:19,11:25:09.076,549
2025-01-31 11:22:19,11:25:11.792,283
2025-01-31 11:22:19,11:25:14.209,333
2025-01-31 11:22:19,11:25:19.042,299
2025-01-31 11:22:19,11:25:23.841,332
2025-01-31 11:22:19,11:25:27.308,333
2025-01-31 11:22:19,11:25:28.891,0
2025-01-31 11:22:19,11:25:31.458,333
2025-01-31 11:22:19,11:25:34.341,299
2025-01-31 11:22:19,11:25:35.907,0
2025-01-31 11:22:19,11:25:36.323,0
2025-01-31 11:22:19,11:25:38.124,0
2025-01-31 11:22:19,11:25:38.839,0
2025-01-31 11:22:19,11:25:41.340,249
2025-01-31 11:22:19,11:25:44.523,632
2025-01-31 11:22:19,11:25:47.189,316
2025-01-31 11:22:19,11:25:50.489,299
2025-01-31 11:22:19,11:25:54.505,316
2025-01-31 11:22:19,11:25:56.572,116
2025-01-31 11:22:19,11:25:56.938,0
2025-01-31 11:22:19,11:25:58.172,0
2025-01-31 11:22:19,11:26:00.454,566
2025-01-31 11:22:19,11:26:03.204,349
2025-01-31 11:22:19,11:26:06.355,0
2025-01-31 11:22:19,11:26:08.721,333
2025-01-31 11:22:19,11:26:12.154,316
2025-01-31 11:22:19,11:26:14.503,316
2025-01-31 11:22:19,11:26:16.586,432
2025-01-31 11:22:19,11:26:19.520,349
2025-01-31 11:22:19,11:26:20.586,0
2025-01-31 11:22:19,11:26:23.053,216
2025-01-31 11:22:19,11:26:24.569,0
2025-01-31 11:22:19,11:26:25.552,0
2025-01-31 11:22:19,11:26:25.836,0
2025-01-31 11:22:19,11:26:26.102,0
2025-01-31 11:22:19,11:26:30.752,316
2025-01-31 11:22:19,11:26:33.935,319
2025-01-31 11:22:19,11:26:37.035,299
2025-01-31 11:22:19,11:26:39.769,0
2025-01-31 11:22:19,11:26:41.435,0
2025-01-31 11:22:19,11:26:44.302,0
2025-01-31 11:22:19,11:26:46.951,0
2025-01-31 11:22:19,11:26:50.650,282
2025-01-31 11:22:19,11:26:53.383,399
2025-01-31 11:22:19,11:26:54.234,0
2025-01-31 11:22:19,11:26:54.399,0
2025-01-31 11:22:19,11:26:54.583,0
2025-01-31 11:22:19,11:26:54.766,0
2025-01-31 11:22:19,11:26:54.933,0
2025-01-31 11:22:19,11:26:58.533,349
2025-01-31 11:22:19,11:27:00.383,0
2025-01-31 11:22:19,11:27:02.383,0
2025-01-31 11:22:19,11:27:05.966,316
2025-01-31 11:22:19,11:27:10.532,99
2025-01-31 11:22:19,11:27:16.331,2932
2025-01-31 11:22:19,11:27:17.215,0
2025-01-31 11:22:19,11:27:21.381,266
2025-01-31 11:22:19,11:27:24.764,299
2025-01-31 11:22:19,11:27:26.814,316
2025-01-31 11:22:19,11:27:27.814,0
2025-01-31 11:22:19,11:27:32.563,482
2025-01-31 11:22:19,11:27:32.763,0
2025-01-31 11:22:19,11:27:32.913,0
2025-01-31 11:22:19,11:27:36.296,432
2025-01-31 11:22:19,11:27:36.380,0
2025-01-31 11:22:19,11:27:40.846,283
2025-01-31 11:22:19,11:27:45.129,183
2025-01-31 11:22:19,11:27:48.779,249
2025-01-31 11:22:19,11:27:51.962,516
2025-01-31 11:22:19,11:27:56.728,282
2025-01-31 11:22:19,11:27:59.712,332
2025-01-31 11:22:19,11:28:02.078,466
2025-01-31 11:22:19,11:28:04.478,283
2025-01-31 11:22:19,11:28:08.944,332
2025-01-31 11:22:19,11:28:12.528,332
2025-01-31 11:22:19,11:28:16.710,282
2025-01-31 11:22:19,11:28:16.843,0
2025-01-31 11:22:19,11:28:20.526,333
2025-01-31 11:22:19,11:28:24.110,366
2025-01-31 11:22:19,11:28:26.093,0
2025-01-31 11:22:19,11:28:28.309,360
2025-01-31 11:22:19,11:28:29.259,0
2025-01-31 11:22:19,11:28:29.725,0
2025-01-31 11:22:19,11:28:30.042,0
2025-01-31 11:22:19,11:28:32.558,582
2025-01-31 11:22:19,11:28:33.142,0
2025-01-31 11:22:19,11:28:34.959,0
2025-01-31 11:22:19,11:28:37.625,266
2025-01-31 11:22:19,11:28:39.608,149
2025-01-31 11:22:19,11:28:44.508,277
2025-01-31 11:22:19,11:28:46.641,0
2025-01-31 11:22:19,11:28:51.224,366
2025-01-31 11:22:19,11:28:54.724,0
2025-01-31 11:22:19,11:28:59.406,282
2025-01-31 11:22:19,11:29:03.872,249
2025-01-31 11:22:19,11:29:06.355,382
2025-01-31 11:22:19,11:29:10.472,282
2025-01-31 11:22:19,11:29:13.539,0
2025-01-31 11:22:19,11:29:13.804,0
2025-01-31 11:22:19,11:29:16.171,432
2025-01-31 11:22:19,11:29:16.938,0
2025-01-31 11:22:19,11:29:20.022,0
2025-01-31 11:22:19,Sex,
2025-01-31 11:22:19,Test Duration in seconds,420
2025-01-31 11:22:19,Number of False Positives,78
2025-01-31 11:22:19,Average response time ,385
2025-01-31 11:22:19,Fastest response time ,99
2025-01-31 11:22:19,Slowest response time ,2932
2025-01-31 11:22:19,Count of response time over 500ms ,14
