Task,TapTime,Milliseconds
2025-01-31 11:50:04,11:50:07.711,349
2025-01-31 11:50:04,11:50:09.945,299
2025-01-31 11:50:04,11:50:14.044,299
2025-01-31 11:50:04,11:50:17.077,299
2025-01-31 11:50:04,11:50:21.810,299
2025-01-31 11:50:04,11:50:25.143,318
2025-01-31 11:50:04,11:50:28.911,299
2025-01-31 11:50:04,11:50:31.143,416
2025-01-31 11:50:04,11:50:35.292,299
2025-01-31 11:50:04,11:50:40.059,272
2025-01-31 11:50:04,11:50:44.642,266
2025-01-31 11:50:04,11:50:47.075,466
2025-01-31 11:50:04,11:50:49.908,299
2025-01-31 11:50:04,11:50:52.041,327
2025-01-31 11:50:04,11:50:54.174,333
2025-01-31 11:50:04,11:50:57.141,282
2025-01-31 11:50:04,11:51:01.607,316
2025-01-31 11:50:04,11:51:03.740,432
2025-01-31 11:50:04,11:51:08.056,355
2025-01-31 11:50:04,11:51:10.239,538
2025-01-31 11:50:04,11:51:14.922,316
2025-01-31 11:50:04,11:51:18.472,282
2025-01-31 11:50:04,11:51:20.805,349
2025-01-31 11:50:04,11:51:23.372,366
2025-01-31 11:50:04,11:51:26.555,249
2025-01-31 11:50:04,11:51:31.321,249
2025-01-31 11:50:04,11:51:35.154,328
2025-01-31 11:50:04,11:51:39.804,316
2025-01-31 11:50:04,11:51:42.287,0
2025-01-31 11:50:04,11:51:44.320,282
2025-01-31 11:50:04,11:51:47.320,0
2025-01-31 11:50:04,11:51:50.370,282
2025-01-31 11:50:04,11:51:55.103,378
2025-01-31 11:50:04,11:51:57.219,516
2025-01-31 11:50:04,11:51:59.602,282
2025-01-31 11:50:04,11:52:02.635,316
2025-01-31 11:50:04,11:52:05.768,282
2025-01-31 11:50:04,11:52:10.051,349
2025-01-31 11:50:04,11:52:14.618,316
2025-01-31 11:50:04,11:52:17.384,382
2025-01-31 11:50:04,11:52:21.717,283
2025-01-31 11:50:04,11:52:25.233,299
2025-01-31 11:50:04,11:52:28.633,299
2025-01-31 11:50:04,11:52:33.483,299
2025-01-31 11:50:04,11:52:38.015,316
2025-01-31 11:50:04,11:52:42.382,332
2025-01-31 11:50:04,11:52:45.348,299
2025-01-31 11:50:04,11:52:48.565,299
2025-01-31 11:50:04,11:52:51.164,316
2025-01-31 11:50:04,11:52:54.081,316
2025-01-31 11:50:04,11:52:58.597,282
2025-01-31 11:50:04,11:53:00.814,416
2025-01-31 11:50:04,11:53:04.647,316
2025-01-31 11:50:04,11:53:08.646,299
2025-01-31 11:50:04,11:53:10.713,333
2025-01-31 11:50:04,11:53:12.096,0
2025-01-31 11:50:04,11:53:14.729,333
2025-01-31 11:50:04,11:53:18.079,316
2025-01-31 11:50:04,11:53:20.944,399
2025-01-31 11:50:04,11:53:25.795,382
2025-01-31 11:50:04,11:53:29.578,332
2025-01-31 11:50:04,11:53:32.911,316
2025-01-31 11:50:04,11:53:36.244,316
2025-01-31 11:50:04,11:53:41.244,1420
2025-01-31 11:50:04,11:53:45.676,374
2025-01-31 11:50:04,11:53:49.026,325
2025-01-31 11:50:04,11:53:51.509,325
2025-01-31 11:50:04,11:53:56.525,305
2025-01-31 11:50:04,11:53:58.542,380
2025-01-31 11:50:04,11:54:01.042,316
2025-01-31 11:50:04,11:54:03.258,299
2025-01-31 11:50:04,11:54:05.158,333
2025-01-31 11:50:04,11:54:09.025,323
2025-01-31 11:50:04,11:54:11.558,0
2025-01-31 11:50:04,11:54:14.074,316
2025-01-31 11:50:04,11:54:18.957,349
2025-01-31 11:50:04,11:54:20.873,349
2025-01-31 11:50:04,11:54:24.990,349
2025-01-31 11:50:04,11:54:27.023,499
2025-01-31 11:50:04,11:54:28.307,0
2025-01-31 11:50:04,11:54:31.789,282
2025-01-31 11:50:04,11:54:36.539,316
2025-01-31 11:50:04,11:54:40.089,263
2025-01-31 11:50:04,11:54:43.088,366
2025-01-31 11:50:04,11:54:45.221,316
2025-01-31 11:50:04,11:54:49.504,582
2025-01-31 11:50:04,11:54:52.371,316
2025-01-31 11:50:04,11:54:54.870,266
2025-01-31 11:50:04,11:54:57.737,132
2025-01-31 11:50:04,11:55:00.154,328
2025-01-31 11:50:04,11:55:04.603,299
2025-01-31 11:50:04,11:55:08.086,283
2025-01-31 11:50:04,11:55:12.136,299
2025-01-31 11:50:04,11:55:14.469,282
2025-01-31 11:50:04,11:55:17.302,282
2025-01-31 11:50:04,11:55:20.119,293
2025-01-31 11:50:04,11:55:22.418,366
2025-01-31 11:50:04,11:55:23.485,0
2025-01-31 11:50:04,11:55:27.701,332
2025-01-31 11:50:04,11:55:31.784,282
2025-01-31 11:50:04,11:55:32.951,0
2025-01-31 11:50:04,11:55:35.967,299
2025-01-31 11:50:04,11:55:39.267,332
2025-01-31 11:50:04,11:55:43.467,282
2025-01-31 11:50:04,11:55:45.633,316
2025-01-31 11:50:04,11:55:48.333,0
2025-01-31 11:50:04,11:55:51.299,316
2025-01-31 11:50:04,11:55:53.282,382
2025-01-31 11:50:04,11:55:58.015,282
2025-01-31 11:50:04,11:56:02.698,332
2025-01-31 11:50:04,11:56:04.831,432
2025-01-31 11:50:04,11:56:07.765,316
2025-01-31 11:50:04,11:56:10.048,316
2025-01-31 11:50:04,11:56:12.531,332
2025-01-31 11:50:04,11:56:16.564,266
2025-01-31 11:50:04,11:56:20.630,382
2025-01-31 11:50:04,11:56:22.947,199
2025-01-31 11:50:04,11:56:23.130,0
2025-01-31 11:50:04,11:56:25.130,399
2025-01-31 11:50:04,11:56:27.396,299
2025-01-31 11:50:04,11:56:28.530,0
2025-01-31 11:50:04,11:56:31.113,399
2025-01-31 11:50:04,11:56:35.646,332
2025-01-31 11:50:04,11:56:37.629,349
2025-01-31 11:50:04,11:56:40.928,332
2025-01-31 11:50:04,11:56:45.345,349
2025-01-31 11:50:04,11:56:49.578,332
2025-01-31 11:50:04,11:56:51.611,482
2025-01-31 11:50:04,11:56:54.394,332
2025-01-31 11:50:04,11:56:58.177,299
2025-01-31 11:50:04,11:57:02.343,296
2025-01-31 11:50:04,11:57:05.543,299
2025-01-31 11:50:04,Sex,
2025-01-31 11:50:04,Test Duration in seconds,421
2025-01-31 11:50:04,Number of False Positives,10
2025-01-31 11:50:04,Average response time ,337
2025-01-31 11:50:04,Fastest response time ,132
2025-01-31 11:50:04,Slowest response time ,1420
2025-01-31 11:50:04,Count of response time over 500ms ,4
