Task,TapTime,Milliseconds
2025-01-31 12:10:45,12:10:47.474,699
2025-01-31 12:10:45,12:10:51.275,0
2025-01-31 12:10:45,12:10:54.090,316
2025-01-31 12:10:45,12:10:57.823,289
2025-01-31 12:10:45,12:10:59.889,0
2025-01-31 12:10:45,12:11:02.207,0
2025-01-31 12:10:45,12:11:04.257,0
2025-01-31 12:10:45,12:11:06.523,466
2025-01-31 12:10:45,12:11:08.156,0
2025-01-31 12:10:45,12:11:12.689,1049
2025-01-31 12:10:45,12:11:15.372,416
2025-01-31 12:10:45,12:11:20.055,399
2025-01-31 12:10:45,12:11:25.121,399
2025-01-31 12:10:45,12:11:28.488,304
2025-01-31 12:10:45,12:11:32.787,366
2025-01-31 12:10:45,12:11:36.453,249
2025-01-31 12:10:45,12:11:38.837,0
2025-01-31 12:10:45,12:11:42.486,349
2025-01-31 12:10:45,12:11:47.019,482
2025-01-31 12:10:45,12:11:49.936,383
2025-01-31 12:10:45,12:11:50.403,0
2025-01-31 12:10:45,12:11:55.069,283
2025-01-31 12:10:45,12:11:57.685,599
2025-01-31 12:10:45,12:11:58.969,0
2025-01-31 12:10:45,12:12:01.319,0
2025-01-31 12:10:45,12:12:04.334,249
2025-01-31 12:10:45,12:12:08.068,0
2025-01-31 12:10:45,12:12:10.118,332
2025-01-31 12:10:45,12:12:12.600,349
2025-01-31 12:10:45,12:12:14.650,466
2025-01-31 12:10:45,12:12:17.184,0
2025-01-31 12:10:45,12:12:19.634,0
2025-01-31 12:10:45,12:12:24.333,366
2025-01-31 12:10:45,12:12:26.349,466
2025-01-31 12:10:45,12:12:31.249,532
2025-01-31 12:10:45,12:12:34.149,416
2025-01-31 12:10:45,12:12:36.465,349
2025-01-31 12:10:45,12:12:38.815,316
2025-01-31 12:10:45,12:12:42.432,0
2025-01-31 12:10:45,12:12:45.414,342
2025-01-31 12:10:45,12:12:48.264,616
2025-01-31 12:10:45,12:12:53.014,366
2025-01-31 12:10:45,12:12:58.012,397
2025-01-31 12:10:45,12:12:58.013,0
2025-01-31 12:10:45,12:13:00.497,413
2025-01-31 12:10:45,12:13:01.897,0
2025-01-31 12:10:45,12:13:05.263,299
2025-01-31 12:10:45,12:13:07.896,289
2025-01-31 12:10:45,12:13:09.163,0
2025-01-31 12:10:45,12:13:11.245,499
2025-01-31 12:10:45,12:13:11.746,0
2025-01-31 12:10:45,12:13:11.912,0
2025-01-31 12:10:45,12:13:12.195,0
2025-01-31 12:10:45,12:13:14.762,316
2025-01-31 12:10:45,12:13:15.729,0
2025-01-31 12:10:45,12:13:19.378,299
2025-01-31 12:10:45,12:13:23.128,316
2025-01-31 12:10:45,12:13:27.611,382
2025-01-31 12:10:45,12:13:28.878,0
2025-01-31 12:10:45,12:13:31.727,366
2025-01-31 12:10:45,12:13:33.944,0
2025-01-31 12:10:45,12:13:36.777,0
2025-01-31 12:10:45,12:13:38.777,0
2025-01-31 12:10:45,12:13:40.693,399
2025-01-31 12:10:45,12:13:41.360,0
2025-01-31 12:10:45,12:13:41.526,0
2025-01-31 12:10:45,12:13:45.843,299
2025-01-31 12:10:45,12:13:49.109,432
2025-01-31 12:10:45,12:13:51.559,482
2025-01-31 12:10:45,12:13:54.275,466
2025-01-31 12:10:45,12:13:57.542,466
2025-01-31 12:10:45,12:14:01.391,332
2025-01-31 12:10:45,12:14:04.025,416
2025-01-31 12:10:45,12:14:06.591,0
2025-01-31 12:10:45,12:14:09.774,0
2025-01-31 12:10:45,12:14:12.724,0
2025-01-31 12:10:45,12:14:14.940,362
2025-01-31 12:10:45,12:14:17.457,332
2025-01-31 12:10:45,12:14:22.323,366
2025-01-31 12:10:45,12:14:22.790,0
2025-01-31 12:10:45,12:14:25.523,366
2025-01-31 12:10:45,12:14:29.006,399
2025-01-31 12:10:45,12:14:31.573,0
2025-01-31 12:10:45,12:14:33.522,282
2025-01-31 12:10:45,12:14:37.572,0
2025-01-31 12:10:45,12:14:41.854,282
2025-01-31 12:10:45,12:14:44.188,516
2025-01-31 12:10:45,12:14:46.887,349
2025-01-31 12:10:45,12:14:50.021,0
2025-01-31 12:10:45,12:14:52.404,299
2025-01-31 12:10:45,12:14:55.553,266
2025-01-31 12:10:45,12:14:58.254,0
2025-01-31 12:10:45,12:15:01.253,182
2025-01-31 12:10:45,12:15:05.336,382
2025-01-31 12:10:45,12:15:08.353,0
2025-01-31 12:10:45,12:15:11.619,466
2025-01-31 12:10:45,12:15:14.768,182
2025-01-31 12:10:45,12:15:18.135,299
2025-01-31 12:10:45,12:15:19.885,0
2025-01-31 12:10:45,12:15:23.984,316
2025-01-31 12:10:45,12:15:26.934,399
2025-01-31 12:10:45,12:15:29.450,332
2025-01-31 12:10:45,12:15:31.118,0
2025-01-31 12:10:45,12:15:33.434,0
2025-01-31 12:10:45,12:15:36.367,282
2025-01-31 12:10:45,12:15:40.316,349
2025-01-31 12:10:45,12:15:42.950,499
2025-01-31 12:10:45,12:15:44.916,0
2025-01-31 12:10:45,12:15:46.932,299
2025-01-31 12:10:45,12:15:49.215,382
2025-01-31 12:10:45,12:15:51.283,0
2025-01-31 12:10:45,12:15:53.615,332
2025-01-31 12:10:45,12:15:57.282,66
2025-01-31 12:10:45,12:16:00.065,0
2025-01-31 12:10:45,12:16:01.248,0
2025-01-31 12:10:45,12:16:04.731,316
2025-01-31 12:10:45,12:16:08.197,349
2025-01-31 12:10:45,12:16:11.898,342
2025-01-31 12:10:45,12:16:15.930,349
2025-01-31 12:10:45,12:16:19.631,0
2025-01-31 12:10:45,12:16:23.047,349
2025-01-31 12:10:45,12:16:25.013,0
2025-01-31 12:10:45,12:16:28.546,0
2025-01-31 12:10:45,12:16:30.412,232
2025-01-31 12:10:45,12:16:32.812,399
2025-01-31 12:10:45,12:16:35.262,0
2025-01-31 12:10:45,12:16:37.245,0
2025-01-31 12:10:45,12:16:39.829,0
2025-01-31 12:10:45,12:16:42.928,299
2025-01-31 12:10:45,12:16:45.861,0
2025-01-31 12:10:45,12:16:49.760,332
2025-01-31 12:10:45,12:16:50.211,0
2025-01-31 12:10:45,12:16:54.127,399
2025-01-31 12:10:45,12:16:57.244,0
2025-01-31 12:10:45,12:16:58.510,0
2025-01-31 12:10:45,12:16:59.910,0
2025-01-31 12:10:45,12:17:02.127,0
2025-01-31 12:10:45,12:17:04.493,0
2025-01-31 12:10:45,12:17:06.709,299
2025-01-31 12:10:45,12:17:10.959,282
2025-01-31 12:10:45,12:17:13.458,387
2025-01-31 12:10:45,12:17:18.175,333
2025-01-31 12:10:45,12:17:19.958,0
2025-01-31 12:10:45,12:17:22.241,283
2025-01-31 12:10:45,12:17:25.441,299
2025-01-31 12:10:45,12:17:27.857,379
2025-01-31 12:10:45,12:17:30.174,0
2025-01-31 12:10:45,12:17:34.623,349
2025-01-31 12:10:45,12:17:36.440,0
2025-01-31 12:10:45,12:17:40.390,299
2025-01-31 12:10:45,12:17:43.157,0
2025-01-31 12:10:45,12:17:48.006,283
2025-01-31 12:10:45,Sex,
