Task,TapTime,Milliseconds
2025-01-31 01:01:46,13:01:48.985,263
2025-01-31 01:01:46,13:01:51.219,0
2025-01-31 01:01:46,13:01:53.268,249
2025-01-31 01:01:46,13:01:56.384,216
2025-01-31 01:01:46,13:01:57.651,0
2025-01-31 01:01:46,13:01:59.218,0
2025-01-31 01:01:46,13:02:01.451,254
2025-01-31 01:01:46,13:02:03.751,283
2025-01-31 01:01:46,13:02:07.217,249
2025-01-31 01:01:46,13:02:09.200,264
2025-01-31 01:01:46,13:02:10.950,0
2025-01-31 01:01:46,13:02:15.549,244
2025-01-31 01:01:46,13:02:19.532,231
2025-01-31 01:01:46,13:02:23.382,247
2025-01-31 01:01:46,13:02:27.098,266
2025-01-31 01:01:46,13:02:30.866,249
2025-01-31 01:01:46,13:02:33.581,283
2025-01-31 01:01:46,13:02:36.998,266
2025-01-31 01:01:46,13:02:39.397,299
2025-01-31 01:01:46,13:02:42.314,257
2025-01-31 01:01:46,13:02:45.380,216
2025-01-31 01:01:46,13:02:49.314,0
2025-01-31 01:01:46,13:02:53.180,249
2025-01-31 01:01:46,13:02:56.279,266
2025-01-31 01:01:46,13:02:58.961,433
2025-01-31 01:01:46,13:03:03.945,280
2025-01-31 01:01:46,13:03:07.445,316
2025-01-31 01:01:46,13:03:09.495,316
2025-01-31 01:01:46,13:03:10.095,0
2025-01-31 01:01:46,13:03:12.095,0
2025-01-31 01:01:46,13:03:16.578,299
2025-01-31 01:01:46,13:03:21.661,383
2025-01-31 01:01:46,13:03:23.794,316
2025-01-31 01:01:46,13:03:28.310,249
2025-01-31 01:01:46,13:03:29.794,0
2025-01-31 01:01:46,13:03:31.976,283
2025-01-31 01:01:46,13:03:35.293,249
2025-01-31 01:01:46,13:03:38.376,266
2025-01-31 01:01:46,13:03:41.859,0
2025-01-31 01:01:46,13:03:46.242,283
2025-01-31 01:01:46,13:03:50.625,249
2025-01-31 01:01:46,13:03:53.475,299
2025-01-31 01:01:46,13:03:57.374,626
2025-01-31 01:01:46,13:04:02.190,266
2025-01-31 01:01:46,13:04:04.174,316
2025-01-31 01:01:46,13:04:07.357,316
2025-01-31 01:01:46,13:04:09.823,299
2025-01-31 01:01:46,13:04:13.223,249
2025-01-31 01:01:46,13:04:15.439,333
2025-01-31 01:01:46,13:04:17.306,0
2025-01-31 01:01:46,13:04:18.639,0
2025-01-31 01:01:46,13:04:22.406,233
2025-01-31 01:01:46,13:04:25.172,299
2025-01-31 01:01:46,13:04:26.505,0
2025-01-31 01:01:46,13:04:29.172,433
2025-01-31 01:01:46,13:04:32.205,366
2025-01-31 01:01:46,13:04:34.504,316
2025-01-31 01:01:46,13:04:35.955,0
2025-01-31 01:01:46,13:04:39.354,249
2025-01-31 01:01:46,13:04:42.554,0
2025-01-31 01:01:46,13:04:44.587,483
2025-01-31 01:01:46,13:04:47.521,0
2025-01-31 01:01:46,13:04:51.670,249
2025-01-31 01:01:46,13:04:55.753,299
2025-01-31 01:01:46,13:04:59.403,433
2025-01-31 01:01:46,13:05:02.136,283
2025-01-31 01:01:46,13:05:04.252,283
2025-01-31 01:01:46,13:05:04.452,0
2025-01-31 01:01:46,13:05:06.968,283
2025-01-31 01:01:46,13:05:09.068,416
2025-01-31 01:01:46,13:05:12.751,299
2025-01-31 01:01:46,13:05:14.535,0
2025-01-31 01:01:46,13:05:16.918,347
2025-01-31 01:01:46,13:05:20.617,280
2025-01-31 01:01:46,13:05:24.800,266
2025-01-31 01:01:46,13:05:27.000,349
2025-01-31 01:01:46,13:05:30.566,333
2025-01-31 01:01:46,13:05:33.933,416
2025-01-31 01:01:46,13:05:36.766,483
2025-01-31 01:01:46,13:05:40.666,266
2025-01-31 01:01:46,13:05:45.082,366
2025-01-31 01:01:46,13:05:48.348,416
2025-01-31 01:01:46,13:05:50.865,316
2025-01-31 01:01:46,13:05:52.798,294
2025-01-31 01:01:46,13:05:56.831,283
2025-01-31 01:01:46,13:06:01.247,266
2025-01-31 01:01:46,13:06:03.914,283
2025-01-31 01:01:46,13:06:07.097,249
2025-01-31 01:01:46,13:06:10.565,231
2025-01-31 01:01:46,13:06:13.630,233
2025-01-31 01:01:46,13:06:15.180,0
2025-01-31 01:01:46,13:06:17.329,0
2025-01-31 01:01:46,13:06:19.995,266
2025-01-31 01:01:46,13:06:22.662,249
2025-01-31 01:01:46,13:06:25.495,449
2025-01-31 01:01:46,13:06:27.812,308
2025-01-31 01:01:46,13:06:31.694,316
2025-01-31 01:01:46,13:06:36.644,399
2025-01-31 01:01:46,13:06:40.711,333
2025-01-31 01:01:46,13:06:44.277,299
2025-01-31 01:01:46,13:06:46.843,316
2025-01-31 01:01:46,13:06:49.910,266
2025-01-31 01:01:46,13:06:53.610,233
2025-01-31 01:01:46,13:06:56.592,299
2025-01-31 01:01:46,13:06:59.992,33
2025-01-31 01:01:46,13:07:04.742,1366
2025-01-31 01:01:46,13:07:09.392,833
2025-01-31 01:01:46,13:07:11.691,283
2025-01-31 01:01:46,13:07:13.674,305
2025-01-31 01:01:46,13:07:17.724,249
2025-01-31 01:01:46,13:07:22.524,316
2025-01-31 01:01:46,13:07:25.207,383
2025-01-31 01:01:46,13:07:27.640,260
2025-01-31 01:01:46,13:07:31.489,249
2025-01-31 01:01:46,13:07:35.206,333
2025-01-31 01:01:46,13:07:37.756,252
2025-01-31 01:01:46,13:07:40.489,0
2025-01-31 01:01:46,13:07:44.755,266
2025-01-31 01:01:46,13:07:46.772,366
2025-01-31 01:01:46,13:07:49.671,266
2025-01-31 01:01:46,13:07:53.188,0
2025-01-31 01:01:46,13:07:57.271,333
2025-01-31 01:01:46,13:07:59.021,0
2025-01-31 01:01:46,13:08:02.920,249
2025-01-31 01:01:46,13:08:04.487,0
2025-01-31 01:01:46,13:08:07.587,299
2025-01-31 01:01:46,13:08:09.536,349
2025-01-31 01:01:46,13:08:12.819,316
2025-01-31 01:01:46,13:08:17.786,283
2025-01-31 01:01:46,13:08:19.952,333
2025-01-31 01:01:46,13:08:22.202,266
