Task,TapTime,Milliseconds
2025-01-31 09:44:41,09:44:44.237,316
2025-01-31 09:44:41,09:44:49.186,371
2025-01-31 09:44:41,09:44:52.403,249
2025-01-31 09:44:41,09:44:55.353,280
2025-01-31 09:44:41,09:44:58.003,263
2025-01-31 09:44:41,09:45:00.236,525
2025-01-31 09:44:41,09:45:02.253,432
2025-01-31 09:44:41,09:45:04.753,0
2025-01-31 09:44:41,09:45:07.686,0
2025-01-31 09:44:41,09:45:10.002,283
2025-01-31 09:44:41,09:45:14.535,249
2025-01-31 09:44:41,09:45:17.785,266
2025-01-31 09:44:41,09:45:20.702,0
2025-01-31 09:44:41,09:45:23.801,266
2025-01-31 09:44:41,09:45:26.367,319
2025-01-31 09:44:41,09:45:28.500,349
2025-01-31 09:44:41,09:45:32.967,299
2025-01-31 09:44:41,09:45:36.117,0
2025-01-31 09:44:41,09:45:36.149,0
2025-01-31 09:44:41,09:45:39.016,283
2025-01-31 09:44:41,09:45:40.882,0
2025-01-31 09:44:41,09:45:40.933,0
2025-01-31 09:44:41,09:45:41.899,0
2025-01-31 09:44:41,09:45:44.682,282
2025-01-31 09:44:41,09:45:47.332,349
2025-01-31 09:44:41,09:45:49.665,266
2025-01-31 09:44:41,09:45:52.264,266
2025-01-31 09:44:41,09:45:55.815,299
2025-01-31 09:44:41,09:45:58.515,232
2025-01-31 09:44:41,09:46:01.598,0
2025-01-31 09:44:41,09:46:04.197,249
2025-01-31 09:44:41,09:46:06.481,366
2025-01-31 09:44:41,09:46:11.297,249
2025-01-31 09:44:41,09:46:15.896,316
2025-01-31 09:44:41,09:46:18.396,349
2025-01-31 09:44:41,09:46:22.763,249
2025-01-31 09:44:41,09:46:25.562,366
2025-01-31 09:44:41,09:46:28.629,239
2025-01-31 09:44:41,09:46:31.695,283
2025-01-31 09:44:41,09:46:34.528,249
2025-01-31 09:44:41,09:46:39.211,266
2025-01-31 09:44:41,09:46:42.077,256
2025-01-31 09:44:41,09:46:45.161,216
2025-01-31 09:44:41,09:46:46.094,0
2025-01-31 09:44:41,09:46:49.244,299
2025-01-31 09:44:41,09:46:54.093,266
2025-01-31 09:44:41,09:46:55.027,0
2025-01-31 09:44:41,09:46:57.627,999
2025-01-31 09:44:41,09:47:02.109,288
2025-01-31 09:44:41,09:47:04.776,379
2025-01-31 09:44:41,09:47:07.842,299
2025-01-31 09:44:41,09:47:11.792,266
2025-01-31 09:44:41,09:47:15.042,266
2025-01-31 09:44:41,09:47:18.059,0
2025-01-31 09:44:41,09:47:22.908,299
2025-01-31 09:44:41,09:47:27.224,282
2025-01-31 09:44:41,09:47:30.374,399
2025-01-31 09:44:41,09:47:35.456,516
2025-01-31 09:44:41,09:47:38.673,249
2025-01-31 09:44:41,09:47:42.422,282
2025-01-31 09:44:41,09:47:46.556,283
2025-01-31 09:44:41,09:47:50.622,233
2025-01-31 09:44:41,09:47:54.222,299
2025-01-31 09:44:41,09:47:57.671,333
2025-01-31 09:44:41,09:48:01.221,266
2025-01-31 09:44:41,09:48:04.821,0
2025-01-31 09:44:41,09:48:08.371,299
2025-01-31 09:44:41,09:48:12.104,283
2025-01-31 09:44:41,09:48:16.504,0
2025-01-31 09:44:41,09:48:19.186,266
2025-01-31 09:44:41,09:48:23.486,316
2025-01-31 09:44:41,09:48:27.585,299
2025-01-31 09:44:41,09:48:32.185,266
2025-01-31 09:44:41,09:48:32.952,0
2025-01-31 09:44:41,09:48:37.468,249
2025-01-31 09:44:41,09:48:41.284,236
2025-01-31 09:44:41,09:48:43.551,316
2025-01-31 09:44:41,09:48:48.234,283
2025-01-31 09:44:41,09:48:48.867,0
2025-01-31 09:44:41,09:48:51.250,282
2025-01-31 09:44:41,09:48:53.866,282
2025-01-31 09:44:41,09:48:58.066,249
2025-01-31 09:44:41,09:49:00.766,299
2025-01-31 09:44:41,09:49:03.316,299
2025-01-31 09:44:41,09:49:07.932,283
2025-01-31 09:44:41,09:49:11.815,282
2025-01-31 09:44:41,09:49:13.881,349
2025-01-31 09:44:41,09:49:15.898,283
2025-01-31 09:44:41,09:49:19.681,266
2025-01-31 09:44:41,09:49:24.647,250
2025-01-31 09:44:41,09:49:28.214,266
2025-01-31 09:44:41,09:49:30.664,283
2025-01-31 09:44:41,09:49:32.114,0
2025-01-31 09:44:41,09:49:36.230,283
2025-01-31 09:44:41,09:49:40.879,249
2025-01-31 09:44:41,09:49:43.896,266
2025-01-31 09:44:41,09:49:48.829,299
2025-01-31 09:44:41,09:49:51.478,431
2025-01-31 09:44:41,09:49:54.895,482
2025-01-31 09:44:41,09:49:57.945,216
2025-01-31 09:44:41,09:50:02.877,349
2025-01-31 09:44:41,09:50:07.194,249
2025-01-31 09:44:41,09:50:09.794,316
2025-01-31 09:44:41,09:50:13.527,232
2025-01-31 09:44:41,09:50:14.560,0
2025-01-31 09:44:41,09:50:18.276,266
2025-01-31 09:44:41,09:50:19.910,0
2025-01-31 09:44:41,09:50:23.592,266
2025-01-31 09:44:41,09:50:27.109,283
2025-01-31 09:44:41,09:50:29.042,382
2025-01-31 09:44:41,09:50:32.208,266
2025-01-31 09:44:41,09:50:34.108,366
2025-01-31 09:44:41,09:50:36.741,266
2025-01-31 09:44:41,09:50:39.391,266
2025-01-31 09:44:41,09:50:41.458,0
2025-01-31 09:44:41,09:50:44.974,266
2025-01-31 09:44:41,09:50:48.374,282
2025-01-31 09:44:41,09:50:52.174,0
2025-01-31 09:44:41,09:50:55.356,266
2025-01-31 09:44:41,09:50:59.789,282
2025-01-31 09:44:41,09:51:02.189,366
2025-01-31 09:44:41,09:51:06.006,299
2025-01-31 09:44:41,09:51:08.755,249
2025-01-31 09:44:41,09:51:11.206,0
2025-01-31 09:44:41,09:51:14.671,266
2025-01-31 09:44:41,09:51:18.004,349
2025-01-31 09:44:41,09:51:20.854,299
2025-01-31 09:44:41,09:51:23.804,274
2025-01-31 09:44:41,09:51:27.987,266
2025-01-31 09:44:41,09:51:31.770,299
2025-01-31 09:44:41,09:51:35.287,0
2025-01-31 09:44:41,09:51:37.786,266
2025-01-31 09:44:41,09:51:42.436,282
2025-01-31 09:44:41,Sex,
2025-01-31 09:44:41,Test Duration in seconds,420
2025-01-31 09:44:41,Number of False Positives,23
2025-01-31 09:44:41,Average response time ,301
2025-01-31 09:44:41,Fastest response time ,216
2025-01-31 09:44:41,Slowest response time ,999
2025-01-31 09:44:41,Count of response time over 500ms ,3
