Task,TapTime,Milliseconds
2025-01-31 12:34:35,12:34:37.187,666
2025-01-31 12:34:35,12:34:39.153,275
2025-01-31 12:34:35,12:34:41.770,133
2025-01-31 12:34:35,12:34:44.487,0
2025-01-31 12:34:35,12:34:46.969,399
2025-01-31 12:34:35,12:34:50.220,0
2025-01-31 12:34:35,12:34:54.635,283
2025-01-31 12:34:35,12:34:59.152,266
2025-01-31 12:34:35,12:35:02.018,316
2025-01-31 12:34:35,12:35:04.201,366
2025-01-31 12:34:35,12:35:06.284,299
2025-01-31 12:34:35,12:35:08.467,299
2025-01-31 12:34:35,12:35:11.468,0
2025-01-31 12:34:35,12:35:13.517,357
2025-01-31 12:34:35,12:35:17.583,266
2025-01-31 12:34:35,12:35:21.233,271
2025-01-31 12:34:35,12:35:23.583,316
2025-01-31 12:34:35,12:35:25.683,283
2025-01-31 12:34:35,12:35:28.132,266
2025-01-31 12:34:35,12:35:29.999,283
2025-01-31 12:34:35,12:35:32.033,0
2025-01-31 12:34:35,12:35:34.283,0
2025-01-31 12:34:35,12:35:38.282,433
2025-01-31 12:34:35,12:35:41.115,283
2025-01-31 12:34:35,12:35:45.265,266
2025-01-31 12:34:35,12:35:50.114,283
2025-01-31 12:34:35,12:35:52.930,216
2025-01-31 12:34:35,12:35:55.814,0
2025-01-31 12:34:35,12:35:59.630,266
2025-01-31 12:34:35,12:36:02.629,266
2025-01-31 12:34:35,12:36:04.197,0
2025-01-31 12:34:35,12:36:07.380,333
2025-01-31 12:34:35,12:36:11.762,282
2025-01-31 12:34:35,12:36:13.829,433
2025-01-31 12:34:35,12:36:16.762,283
2025-01-31 12:34:35,12:36:21.111,283
2025-01-31 12:34:35,12:36:23.828,299
2025-01-31 12:34:35,12:36:28.511,249
2025-01-31 12:34:35,12:36:31.661,273
2025-01-31 12:34:35,12:36:34.210,366
2025-01-31 12:34:35,12:36:38.626,266
2025-01-31 12:34:35,12:36:42.260,283
2025-01-31 12:34:35,12:36:44.659,299
2025-01-31 12:34:35,12:36:49.193,260
2025-01-31 12:34:35,12:36:52.975,399
2025-01-31 12:34:35,12:36:57.841,266
2025-01-31 12:34:35,12:36:59.958,383
2025-01-31 12:34:35,12:37:03.108,283
2025-01-31 12:34:35,12:37:06.058,0
2025-01-31 12:34:35,12:37:10.174,264
2025-01-31 12:34:35,12:37:12.891,331
2025-01-31 12:34:35,12:37:17.140,333
2025-01-31 12:34:35,12:37:20.656,316
2025-01-31 12:34:35,12:37:24.123,416
