Task,TapTime,Milliseconds
2025-01-31 10:09:53,10:09:55.589,216
2025-01-31 10:09:53,10:09:59.422,292
2025-01-31 10:09:53,10:10:02.422,342
2025-01-31 10:09:53,10:10:06.055,282
2025-01-31 10:09:53,10:10:09.071,282
2025-01-31 10:09:53,10:10:11.938,233
2025-01-31 10:09:53,10:10:15.821,266
2025-01-31 10:09:53,10:10:18.354,366
2025-01-31 10:09:53,10:10:21.221,233
2025-01-31 10:09:53,10:10:25.936,299
2025-01-31 10:09:53,10:10:29.353,266
2025-01-31 10:09:53,10:10:33.236,249
2025-01-31 10:09:53,10:10:35.319,333
2025-01-31 10:09:53,10:10:39.619,283
2025-01-31 10:09:53,10:10:42.885,266
2025-01-31 10:09:53,10:10:47.485,266
2025-01-31 10:09:53,10:10:49.751,399
2025-01-31 10:09:53,10:10:53.318,333
2025-01-31 10:09:53,10:10:56.717,283
2025-01-31 10:09:53,10:11:00.167,291
2025-01-31 10:09:53,10:11:03.400,316
2025-01-31 10:09:53,10:11:05.417,416
2025-01-31 10:09:53,10:11:07.567,316
2025-01-31 10:09:53,10:11:10.733,283
2025-01-31 10:09:53,10:11:13.816,233
2025-01-31 10:09:53,10:11:18.449,299
2025-01-31 10:09:53,10:11:22.732,283
2025-01-31 10:09:53,10:11:25.099,349
2025-01-31 10:09:53,10:11:27.765,283
2025-01-31 10:09:53,10:11:30.981,299
2025-01-31 10:09:53,10:11:33.414,299
2025-01-31 10:09:53,10:11:38.164,266
2025-01-31 10:09:53,10:11:42.280,283
2025-01-31 10:09:53,10:11:45.647,299
2025-01-31 10:09:53,10:11:48.846,266
2025-01-31 10:09:53,10:11:50.946,299
2025-01-31 10:09:53,10:11:55.513,266
2025-01-31 10:09:53,10:11:58.729,282
2025-01-31 10:09:53,10:12:00.695,416
2025-01-31 10:09:53,10:12:05.178,299
2025-01-31 10:09:53,10:12:09.828,266
2025-01-31 10:09:53,10:12:12.894,283
2025-01-31 10:09:53,10:12:15.561,399
2025-01-31 10:09:53,10:12:19.010,258
2025-01-31 10:09:53,10:12:21.977,283
2025-01-31 10:09:53,10:12:25.010,0
2025-01-31 10:09:53,10:12:27.093,328
2025-01-31 10:09:53,10:12:30.960,283
2025-01-31 10:09:53,10:12:33.426,316
2025-01-31 10:09:53,10:12:37.109,290
2025-01-31 10:09:53,10:12:40.909,233
2025-01-31 10:09:53,10:12:43.425,316
2025-01-31 10:09:53,10:12:46.591,466
2025-01-31 10:09:53,10:12:51.424,299
2025-01-31 10:09:53,10:12:55.374,266
2025-01-31 10:09:53,10:12:58.724,0
2025-01-31 10:09:53,10:13:01.407,283
2025-01-31 10:09:53,10:13:04.390,316
2025-01-31 10:09:53,10:13:08.256,260
2025-01-31 10:09:53,10:13:12.406,299
2025-01-31 10:09:53,10:13:14.473,483
2025-01-31 10:09:53,10:13:16.489,366
2025-01-31 10:09:53,10:13:18.805,299
2025-01-31 10:09:53,10:13:23.339,233
2025-01-31 10:09:53,10:13:25.488,383
2025-01-31 10:09:53,10:13:30.488,316
2025-01-31 10:09:53,10:13:33.321,299
2025-01-31 10:09:53,10:13:37.571,266
