Task,TapTime,Milliseconds
Aaron,18:57:37.964,1416
Aaron,18:57:41.431,316
Aaron,18:57:45.531,283
Aaron,18:57:47.864,391
Aaron,18:57:52.347,299
Aaron,18:57:55.746,337
Aaron,18:58:00.763,316
Aaron,18:58:04.779,333
Aaron,18:58:09.112,309
Aaron,18:58:12.378,309
Aaron,18:58:16.811,275
Aaron,18:58:18.778,366
Aaron,18:58:21.411,366
Aaron,18:58:23.644,333
Aaron,18:58:26.027,297
Aaron,18:58:30.010,299
Aaron,18:58:32.560,362
Aaron,18:58:36.626,295
Aaron,18:58:40.259,272
Aaron,18:58:44.176,314
Aaron,18:58:48.643,333
Aaron,18:58:51.109,533
Aaron,18:58:54.475,299
Aaron,18:58:59.208,299
Aaron,18:59:04.057,330
Aaron,18:59:08.024,297
Aaron,18:59:11.690,316
Aaron,18:59:15.674,0
Aaron,18:59:20.290,316
Aaron,18:59:22.756,783
Aaron,18:59:24.789,483
Aaron,18:59:26.872,299
Aaron,18:59:30.122,349
Aaron,18:59:33.572,333
Aaron,18:59:37.421,316
Aaron,18:59:42.221,383
Aaron,18:59:44.388,483
Aaron,18:59:48.387,349
Aaron,18:59:50.654,349
Aaron,18:59:54.987,304
Aaron,18:59:58.953,316
Aaron,19:00:01.836,399
Aaron,19:00:04.219,383
Aaron,19:00:07.986,283
Aaron,19:00:10.452,349
Aaron,19:00:15.052,349
Aaron,19:00:17.152,449
Aaron,19:00:21.968,314
Aaron,19:00:24.817,449
Aaron,19:00:28.917,283
Aaron,19:00:31.567,333
Aaron,19:00:34.184,283
Aaron,19:00:38.600,299
Aaron,19:00:41.783,349
Aaron,19:00:45.999,347
Aaron,19:00:48.582,349
Aaron,19:00:52.816,383
Aaron,19:00:57.065,299
Aaron,19:01:01.648,349
Aaron,19:01:05.014,358
Aaron,19:01:07.297,399
Aaron,19:01:09.414,316
Aaron,19:01:12.314,283
Aaron,19:01:15.747,316
Aaron,19:01:18.030,399
Aaron,19:01:21.296,570
Aaron,19:01:24.813,316
Aaron,19:01:27.579,349
Aaron,19:01:31.312,283
Aaron,19:01:36.362,333
Aaron,19:01:38.428,498
Aaron,19:01:42.978,349
Aaron,19:01:46.095,333
Aaron,19:01:51.094,333
Aaron,19:01:54.660,433
Aaron,19:01:56.860,366
Aaron,19:02:00.460,366
Aaron,19:02:05.293,313
Aaron,19:02:07.460,433
Aaron,19:02:11.042,283
Aaron,19:02:14.259,280
Aaron,19:02:18.808,300
Aaron,19:02:21.175,349
Aaron,19:02:24.441,327
Aaron,19:02:26.491,333
Aaron,19:02:28.474,316
Aaron,19:02:31.741,316
Aaron,19:02:35.340,316
Aaron,19:02:37.407,382
Aaron,19:02:41.773,349
Aaron,19:02:45.139,360
Aaron,19:02:47.556,333
Aaron,19:02:52.373,283
Aaron,19:02:55.105,349
Aaron,19:02:57.955,333
Aaron,19:03:02.655,480
Aaron,19:03:06.438,273
Aaron,19:03:10.788,337
Aaron,19:03:13.137,420
Aaron,19:03:18.037,273
Aaron,19:03:22.670,230
Aaron,19:03:26.986,347
Aaron,19:03:29.286,399
Aaron,19:03:33.602,316
Aaron,19:03:38.469,316
Aaron,19:03:42.402,297
Aaron,19:03:46.968,282
Aaron,19:03:51.134,316
Aaron,19:03:54.151,333
Aaron,19:03:57.767,264
Aaron,19:04:00.634,282
Aaron,19:04:04.950,294
Aaron,19:04:09.949,312
Aaron,19:04:12.416,466
Aaron,19:04:14.266,316
Aaron,19:04:16.382,299
Aaron,19:04:19.366,283
Aaron,19:04:22.465,297
Aaron,19:04:27.048,366
Aaron,19:04:29.598,316
Aaron,19:04:31.731,516
Aaron,19:04:35.047,299
Aaron,19:04:38.347,399
Aaron,Sex,
Aaron,Test Duration in seconds,422
Aaron,Number of False Positives,1
Aaron,Average response time ,353
Aaron,Fastest response time ,230
Aaron,Slowest response time ,1416
Aaron,Count of response time over 500ms ,5
