Task,TapTime,Milliseconds
Hugo,17:56:49.951,309
Hugo,17:56:52.883,275
Hugo,17:56:56.066,283
Hugo,17:56:59.600,283
Hugo,17:57:04.099,316
Hugo,17:57:08.632,283
Hugo,17:57:12.848,333
Hugo,17:57:16.381,266
Hugo,17:57:19.681,499
Hugo,17:57:23.364,294
Hugo,17:57:26.081,280
Hugo,17:57:30.514,266
Hugo,17:57:33.747,266
Hugo,17:57:37.280,0
Hugo,17:57:40.363,430
Hugo,17:57:42.696,427
Hugo,17:57:44.862,327
Hugo,17:57:47.579,275
Hugo,17:57:51.112,314
Hugo,17:57:55.495,316
Hugo,17:57:59.112,266
Hugo,17:58:01.245,333
Hugo,17:58:04.378,266
Hugo,17:58:08.511,266
Hugo,17:58:10.510,333
Hugo,17:58:12.944,299
Hugo,17:58:14.860,330
Hugo,17:58:17.460,283
Hugo,17:58:20.993,301
Hugo,17:58:25.876,299
Hugo,17:58:28.192,349
Hugo,17:58:33.025,316
Hugo,17:58:37.392,283
Hugo,17:58:39.809,328
Hugo,17:58:44.341,299
Hugo,17:58:48.141,366
Hugo,17:58:52.007,299
Hugo,17:58:54.523,349
Hugo,17:58:57.157,249
Hugo,17:59:01.056,283
Hugo,17:59:04.906,266
Hugo,17:59:07.456,349
Hugo,17:59:11.072,299
Hugo,17:59:13.489,316
Hugo,17:59:16.056,330
Hugo,17:59:18.222,297
Hugo,17:59:21.305,266
Hugo,17:59:24.056,283
Hugo,17:59:28.554,316
Hugo,17:59:33.254,216
Hugo,17:59:37.403,299
Hugo,17:59:39.637,333
Hugo,17:59:41.536,299
Hugo,17:59:45.803,299
Hugo,17:59:47.886,383
Hugo,17:59:50.702,266
Hugo,17:59:54.785,283
Hugo,17:59:58.785,283
Hugo,17:59:59.667,0
Hugo,18:00:01.668,366
Hugo,18:00:03.935,435
Hugo,18:00:07.134,316
Hugo,18:00:10.551,384
Hugo,18:00:12.951,316
Hugo,18:00:15.867,299
Hugo,18:00:19.317,416
Hugo,18:00:22.866,299
Hugo,18:00:25.349,518
Hugo,18:00:28.216,451
Hugo,18:00:28.681,0
Hugo,18:00:30.732,366
Hugo,18:00:34.399,299
Hugo,18:00:37.415,316
Hugo,18:00:42.165,266
Hugo,18:00:45.381,283
Hugo,18:00:47.981,349
Hugo,18:00:50.731,299
Hugo,18:00:55.264,299
Hugo,18:00:58.230,333
Hugo,18:01:00.280,449
Hugo,18:01:03.696,266
Hugo,18:01:06.413,316
Hugo,18:01:10.379,283
Hugo,18:01:12.379,416
Hugo,18:01:15.862,434
Hugo,18:01:18.478,316
Hugo,18:01:20.829,333
Hugo,18:01:23.095,266
Hugo,18:01:25.212,0
Hugo,18:01:27.578,483
Hugo,18:01:31.978,283
Hugo,18:01:34.577,349
Hugo,18:01:39.044,283
Hugo,18:01:42.993,299
Hugo,18:01:47.226,399
Hugo,18:01:51.543,383
Hugo,18:01:55.393,286
Hugo,18:02:00.075,316
Hugo,18:02:02.708,349
Hugo,18:02:07.308,283
Hugo,18:02:11.741,249
Hugo,18:02:16.157,286
Hugo,18:02:18.957,333
Hugo,18:02:22.590,285
Hugo,18:02:25.373,330
Hugo,18:02:27.706,349
Hugo,18:02:31.723,299
Hugo,18:02:35.539,316
Hugo,18:02:39.772,282
Hugo,18:02:43.522,299
Hugo,18:02:45.605,383
Hugo,18:02:48.655,299
Hugo,18:02:51.038,416
Hugo,18:02:54.771,283
Hugo,18:02:57.470,316
Hugo,18:03:02.120,434
Hugo,18:03:04.270,516
Hugo,18:03:07.770,283
Hugo,18:03:12.236,283
Hugo,18:03:15.370,349
Hugo,18:03:19.320,299
Hugo,18:03:23.636,283
Hugo,18:03:26.886,399
Hugo,18:03:27.268,0
Hugo,18:03:31.918,299
Hugo,18:03:34.184,366
Hugo,18:03:36.301,304
Hugo,18:03:38.768,320
Hugo,18:03:41.967,283
Hugo,18:03:45.450,297
Hugo,18:03:48.583,297
Hugo,Sex,
Hugo,Test Duration in seconds,422
Hugo,Number of False Positives,5
Hugo,Average response time ,322
Hugo,Fastest response time ,216
Hugo,Slowest response time ,518
Hugo,Count of response time over 500ms ,2
