Task,TapTime,Milliseconds
Jesus Tobarra Salmeron 2ESO,18:18:26.530,283
Jesus Tobarra Salmeron 2ESO,18:18:28.563,0
Jesus Tobarra Salmeron 2ESO,18:18:30.679,0
Jesus Tobarra Salmeron 2ESO,18:18:33.429,0
Jesus Tobarra Salmeron 2ESO,18:18:36.262,0
Jesus Tobarra Salmeron 2ESO,18:18:40.345,299
Jesus Tobarra Salmeron 2ESO,18:18:43.928,300
Jesus Tobarra Salmeron 2ESO,18:18:47.411,299
Jesus Tobarra Salmeron 2ESO,18:18:50.894,0
Jesus Tobarra Salmeron 2ESO,18:18:54.560,183
Jesus Tobarra Salmeron 2ESO,18:18:56.977,466
Jesus Tobarra Salmeron 2ESO,18:19:00.177,233
Jesus Tobarra Salmeron 2ESO,18:19:02.843,247
Jesus Tobarra Salmeron 2ESO,18:19:05.176,0
Jesus Tobarra Salmeron 2ESO,18:19:07.292,249
Jesus Tobarra Salmeron 2ESO,18:19:09.376,0
Jesus Tobarra Salmeron 2ESO,18:19:11.576,0
Jesus Tobarra Salmeron 2ESO,18:19:15.742,499
Jesus Tobarra Salmeron 2ESO,18:19:20.774,333
Jesus Tobarra Salmeron 2ESO,18:19:24.507,399
Jesus Tobarra Salmeron 2ESO,18:19:27.274,299
Jesus Tobarra Salmeron 2ESO,18:19:29.390,483
Jesus Tobarra Salmeron 2ESO,18:19:32.541,0
Jesus Tobarra Salmeron 2ESO,18:19:37.273,299
Jesus Tobarra Salmeron 2ESO,18:19:39.423,316
Jesus Tobarra Salmeron 2ESO,18:19:42.756,249
Jesus Tobarra Salmeron 2ESO,18:19:46.256,0
Jesus Tobarra Salmeron 2ESO,18:19:50.005,233
Jesus Tobarra Salmeron 2ESO,18:19:54.538,299
Jesus Tobarra Salmeron 2ESO,18:19:56.721,349
Jesus Tobarra Salmeron 2ESO,18:19:59.822,0
Jesus Tobarra Salmeron 2ESO,18:20:03.554,0
Jesus Tobarra Salmeron 2ESO,18:20:05.937,299
Jesus Tobarra Salmeron 2ESO,18:20:09.903,447
Jesus Tobarra Salmeron 2ESO,18:20:10.854,0
Jesus Tobarra Salmeron 2ESO,18:20:15.869,322
Jesus Tobarra Salmeron 2ESO,18:20:16.720,0
Jesus Tobarra Salmeron 2ESO,18:20:21.586,283
Jesus Tobarra Salmeron 2ESO,18:20:25.235,266
Jesus Tobarra Salmeron 2ESO,18:20:27.119,330
Jesus Tobarra Salmeron 2ESO,18:20:30.052,0
Jesus Tobarra Salmeron 2ESO,18:20:30.284,0
Jesus Tobarra Salmeron 2ESO,18:20:34.634,266
Jesus Tobarra Salmeron 2ESO,18:20:38.551,316
Jesus Tobarra Salmeron 2ESO,18:20:41.367,332
Jesus Tobarra Salmeron 2ESO,18:20:44.983,16
Jesus Tobarra Salmeron 2ESO,18:20:47.000,433
Jesus Tobarra Salmeron 2ESO,18:20:51.316,349
Jesus Tobarra Salmeron 2ESO,18:20:54.599,296
Jesus Tobarra Salmeron 2ESO,18:20:56.999,299
Jesus Tobarra Salmeron 2ESO,18:21:00.366,266
Jesus Tobarra Salmeron 2ESO,18:21:02.499,0
Jesus Tobarra Salmeron 2ESO,18:21:07.415,516
