Task,TapTime,Milliseconds
Óscar Rosa primero de la eso,17:32:52.327,0
Óscar Rosa primero de la eso,17:32:53.909,0
Óscar Rosa primero de la eso,17:32:54.592,0
Óscar Rosa primero de la eso,17:32:56.525,299
Óscar Rosa primero de la eso,17:32:57.409,0
Óscar Rosa primero de la eso,17:32:59.492,333
Óscar Rosa primero de la eso,17:32:59.958,0
Óscar Rosa primero de la eso,17:33:00.642,0
Óscar Rosa primero de la eso,17:33:03.241,283
Óscar Rosa primero de la eso,17:33:03.958,0
Óscar Rosa primero de la eso,17:33:05.957,266
Óscar Rosa primero de la eso,17:33:06.958,0
Óscar Rosa primero de la eso,17:33:09.641,283
Óscar Rosa primero de la eso,17:33:10.408,0
Óscar Rosa primero de la eso,17:33:15.023,266
Óscar Rosa primero de la eso,17:33:15.807,0
Óscar Rosa primero de la eso,17:33:20.023,266
Óscar Rosa primero de la eso,17:33:20.840,0
Óscar Rosa primero de la eso,17:33:24.456,299
Óscar Rosa primero de la eso,17:33:28.906,259
Óscar Rosa primero de la eso,17:33:31.755,466
Óscar Rosa primero de la eso,17:33:35.488,266
Óscar Rosa primero de la eso,17:33:38.789,0
Óscar Rosa primero de la eso,17:33:39.905,0
Óscar Rosa primero de la eso,17:33:42.554,333
Óscar Rosa primero de la eso,17:33:45.354,266
Óscar Rosa primero de la eso,17:33:47.171,0
Óscar Rosa primero de la eso,17:33:49.487,333
Óscar Rosa primero de la eso,17:33:52.003,249
Óscar Rosa primero de la eso,17:33:55.870,249
Óscar Rosa primero de la eso,17:33:58.386,299
Óscar Rosa primero de la eso,17:34:00.853,0
Óscar Rosa primero de la eso,17:34:05.219,247
Óscar Rosa primero de la eso,17:34:09.568,264
Óscar Rosa primero de la eso,17:34:14.401,249
Óscar Rosa primero de la eso,17:34:17.451,99
Óscar Rosa primero de la eso,17:34:21.851,233
Óscar Rosa primero de la eso,17:34:24.534,383
Óscar Rosa primero de la eso,17:34:27.783,299
Óscar Rosa primero de la eso,17:34:29.667,316
Óscar Rosa primero de la eso,17:34:33.550,266
Óscar Rosa primero de la eso,17:34:34.733,0
Óscar Rosa primero de la eso,17:34:37.933,316
Óscar Rosa primero de la eso,17:34:40.016,399
Óscar Rosa primero de la eso,17:34:44.065,249
Óscar Rosa primero de la eso,17:34:45.516,0
Óscar Rosa primero de la eso,17:34:49.715,270
Óscar Rosa primero de la eso,17:34:53.015,266
Óscar Rosa primero de la eso,17:34:55.064,316
Óscar Rosa primero de la eso,17:34:59.064,249
Óscar Rosa primero de la eso,17:34:59.765,0
Óscar Rosa primero de la eso,17:35:03.097,283
Óscar Rosa primero de la eso,17:35:04.747,0
Óscar Rosa primero de la eso,17:35:08.013,266
Óscar Rosa primero de la eso,17:35:11.313,232
Óscar Rosa primero de la eso,17:35:14.896,283
Óscar Rosa primero de la eso,17:35:18.562,308
Óscar Rosa primero de la eso,17:35:20.979,347
Óscar Rosa primero de la eso,17:35:24.263,0
Óscar Rosa primero de la eso,17:35:27.379,0
Óscar Rosa primero de la eso,17:35:29.012,0
Óscar Rosa primero de la eso,17:35:32.011,266
Óscar Rosa primero de la eso,17:35:35.878,266
Óscar Rosa primero de la eso,17:35:39.444,299
Óscar Rosa primero de la eso,17:35:41.778,0
Óscar Rosa primero de la eso,17:35:42.026,0
Óscar Rosa primero de la eso,17:35:45.027,0
Óscar Rosa primero de la eso,17:35:47.576,299
Óscar Rosa primero de la eso,17:35:51.959,281
Óscar Rosa primero de la eso,17:35:53.992,449
