Task,TapTime,Milliseconds
Jaime Tobarra Salmeron 3,18:04:06.590,399
Jaime Tobarra Salmeron 3,18:04:09.773,316
Jaime Tobarra Salmeron 3,18:04:14.023,389
Jaime Tobarra Salmeron 3,18:04:17.590,0
Jaime Tobarra Salmeron 3,18:04:20.639,383
Jaime Tobarra Salmeron 3,18:04:24.456,333
Jaime Tobarra Salmeron 3,18:04:28.989,355
Jaime Tobarra Salmeron 3,18:04:31.172,583
Jaime Tobarra Salmeron 3,18:04:34.088,299
Jaime Tobarra Salmeron 3,18:04:37.854,380
Jaime Tobarra Salmeron 3,18:04:40.988,333
Jaime Tobarra Salmeron 3,18:04:43.986,354
Jaime Tobarra Salmeron 3,18:04:46.621,0
Jaime Tobarra Salmeron 3,18:04:49.737,485
Jaime Tobarra Salmeron 3,18:04:53.153,366
Jaime Tobarra Salmeron 3,18:04:55.519,466
Jaime Tobarra Salmeron 3,18:04:59.936,481
Jaime Tobarra Salmeron 3,18:05:02.718,466
Jaime Tobarra Salmeron 3,18:05:04.136,0
Jaime Tobarra Salmeron 3,18:05:08.618,433
Jaime Tobarra Salmeron 3,18:05:11.768,516
Jaime Tobarra Salmeron 3,18:05:16.434,383
Jaime Tobarra Salmeron 3,18:05:20.933,380
Jaime Tobarra Salmeron 3,18:05:23.983,350
Jaime Tobarra Salmeron 3,18:05:28.683,299
Jaime Tobarra Salmeron 3,18:05:31.416,433
Jaime Tobarra Salmeron 3,18:05:35.049,178
Jaime Tobarra Salmeron 3,18:05:38.565,316
Jaime Tobarra Salmeron 3,18:05:43.132,330
Jaime Tobarra Salmeron 3,18:05:45.331,416
Jaime Tobarra Salmeron 3,18:05:47.381,333
Jaime Tobarra Salmeron 3,18:05:49.615,366
Jaime Tobarra Salmeron 3,18:05:53.081,366
Jaime Tobarra Salmeron 3,18:05:55.997,349
Jaime Tobarra Salmeron 3,18:05:58.730,349
Jaime Tobarra Salmeron 3,18:06:00.846,399
Jaime Tobarra Salmeron 3,18:06:02.547,0
Jaime Tobarra Salmeron 3,18:06:04.864,483
Jaime Tobarra Salmeron 3,18:06:07.196,330
Jaime Tobarra Salmeron 3,18:06:09.163,383
Jaime Tobarra Salmeron 3,18:06:13.262,349
