Task,TapTime,Milliseconds
Martín,18:42:58.996,316
Martín,18:43:00.230,0
Martín,18:43:03.529,254
Martín,18:43:06.280,0
Martín,18:43:08.230,0
Martín,18:43:10.563,0
Martín,18:43:12.545,432
Martín,18:43:16.395,282
Martín,18:43:19.962,0
Martín,18:43:22.412,0
Martín,18:43:26.278,299
Martín,18:43:29.161,497
Martín,18:43:33.744,299
Martín,18:43:36.644,533
Martín,18:43:38.911,0
Martín,18:43:42.177,0
Martín,18:43:45.959,316
Martín,18:43:50.343,366
Martín,18:43:54.010,0
Martín,18:43:58.442,333
Martín,18:44:03.175,333
Martín,18:44:06.525,0
Martín,18:44:09.358,382
Martín,18:44:13.708,266
Martín,18:44:17.707,266
Martín,18:44:20.974,333
Martín,18:44:24.907,332
Martín,18:44:28.373,266
Martín,18:44:31.040,399
Martín,18:44:34.123,0
Martín,18:44:38.522,349
Martín,18:44:42.755,316
Martín,18:44:46.672,0
Martín,18:44:51.338,299
Martín,18:44:54.455,416
Martín,18:44:59.038,333
Martín,18:45:02.171,466
Martín,18:45:06.920,330
Martín,18:45:09.503,399
Martín,18:45:12.753,382
Martín,18:45:14.836,339
Martín,18:45:19.769,307
Martín,18:45:24.020,0
Martín,18:45:26.235,599
Martín,18:45:29.503,324
Martín,18:45:32.652,0
Martín,18:45:34.969,0
Martín,18:45:37.401,271
Martín,18:45:39.751,516
Martín,18:45:41.901,399
Martín,18:45:44.168,0
Martín,18:45:47.251,0
Martín,18:45:51.634,332
Martín,18:45:55.767,380
Martín,18:45:59.634,0
Martín,18:46:01.966,434
Martín,18:46:06.683,316
Martín,18:46:10.333,0
Martín,18:46:12.815,449
Martín,18:46:16.415,382
Martín,18:46:19.048,349
Martín,18:46:21.731,280
Martín,18:46:23.981,330
Martín,18:46:26.065,0
Martín,18:46:30.314,349
Martín,18:46:33.731,0
Martín,18:46:36.530,366
Martín,18:46:40.547,297
Martín,18:46:44.930,0
Martín,18:46:48.297,333
Martín,18:46:51.379,482
Martín,18:46:53.962,312
Martín,18:46:56.029,333
Martín,18:47:00.945,364
Martín,18:47:04.328,299
Martín,18:47:07.211,316
Martín,18:47:09.628,466
Martín,18:47:14.195,331
Martín,18:47:16.811,425
Martín,18:47:19.877,552
Martín,18:47:23.244,305
Martín,18:47:25.693,378
Martín,18:47:29.576,64
Martín,18:47:32.126,299
Martín,18:47:34.309,349
Martín,18:47:36.777,0
Martín,18:47:38.693,0
Martín,18:47:42.192,299
Martín,18:47:45.875,316
Martín,18:47:48.309,349
Martín,18:47:50.559,0
Martín,18:47:52.492,333
Martín,18:47:55.724,299
Martín,18:47:59.524,299
Martín,18:48:03.007,316
Martín,18:48:06.807,287
Martín,18:48:09.024,370
Martín,18:48:13.607,0
Martín,18:48:15.974,0
Martín,18:48:17.890,0
Martín,18:48:22.573,416
Martín,18:48:25.972,326
Martín,18:48:28.372,385
Martín,18:48:31.839,322
Martín,18:48:35.272,297
Martín,18:48:39.721,297
Martín,18:48:44.521,299
Martín,18:48:48.421,266
Martín,18:48:51.887,133
Martín,18:48:56.420,332
Martín,18:48:59.470,449
Martín,18:49:02.936,310
Martín,18:49:06.736,295
Martín,18:49:09.969,423
Martín,18:49:13.302,149
Martín,18:49:17.336,0
Martín,18:49:22.135,316
Martín,18:49:25.751,533
Martín,18:49:27.818,380
Martín,18:49:32.251,366
Martín,18:49:34.817,266
Martín,18:49:37.900,274
Martín,18:49:42.333,316
Martín,18:49:45.133,449
Martín,18:49:47.883,257
Martín,18:49:50.733,0
Martín,18:49:53.066,383
Martín,18:49:56.150,0
Martín,Sex,
Martín,Test Duration in seconds,420
Martín,Number of False Positives,31
Martín,Average response time ,345
Martín,Fastest response time ,64
Martín,Slowest response time ,599
Martín,Count of response time over 500ms ,5
