Task,TapTime,Milliseconds
Adrián 4ºA,17:09:22.298,283
Adrián 4ºA,17:09:25.864,0
Adrián 4ºA,17:09:28.614,0
Adrián 4ºA,17:09:31.631,0
Adrián 4ºA,17:09:33.630,416
Adrián 4ºA,17:09:36.080,333
Adrián 4ºA,17:09:38.480,0
Adrián 4ºA,17:09:40.396,316
Adrián 4ºA,17:09:43.279,266
Adrián 4ºA,17:09:45.946,0
Adrián 4ºA,17:09:48.946,0
Adrián 4ºA,17:09:52.195,316
Adrián 4ºA,17:09:54.362,482
Adrián 4ºA,17:09:56.878,466
Adrián 4ºA,17:10:00.228,280
Adrián 4ºA,17:10:04.044,299
Adrián 4ºA,17:10:06.094,349
Adrián 4ºA,17:10:08.144,333
Adrián 4ºA,17:10:10.027,0
Adrián 4ºA,17:10:10.660,0
Adrián 4ºA,17:10:11.127,0
Adrián 4ºA,17:10:12.944,266
Adrián 4ºA,17:10:13.227,0
Adrián 4ºA,17:10:15.676,266
Adrián 4ºA,17:10:18.294,0
Adrián 4ºA,17:10:20.577,0
Adrián 4ºA,17:10:22.943,399
Adrián 4ºA,17:10:25.159,416
Adrián 4ºA,17:10:27.476,175
Adrián 4ºA,17:10:29.593,0
Adrián 4ºA,17:10:31.876,0
Adrián 4ºA,17:10:34.375,33
Adrián 4ºA,17:10:37.025,0
Adrián 4ºA,17:10:39.325,0
Adrián 4ºA,17:10:41.842,0
Adrián 4ºA,17:10:44.558,0
Adrián 4ºA,17:10:47.174,299
Adrián 4ºA,17:10:49.574,0
Adrián 4ºA,17:10:52.407,266
Adrián 4ºA,17:10:52.624,0
Adrián 4ºA,17:10:56.957,283
Adrián 4ºA,17:10:59.656,316
Adrián 4ºA,17:11:02.023,282
Adrián 4ºA,17:11:04.290,0
Adrián 4ºA,17:11:06.572,299
Adrián 4ºA,17:11:09.855,249
Adrián 4ºA,17:11:14.022,16
Adrián 4ºA,17:11:17.072,0
Adrián 4ºA,17:11:20.322,0
Adrián 4ºA,17:11:23.171,232
Adrián 4ºA,17:11:26.238,0
Adrián 4ºA,17:11:29.255,0
Adrián 4ºA,17:11:31.188,383
Adrián 4ºA,17:11:34.287,283
Adrián 4ºA,17:11:36.537,333
Adrián 4ºA,17:11:39.753,283
Adrián 4ºA,17:11:42.303,299
Adrián 4ºA,17:11:45.202,266
Adrián 4ºA,17:11:47.802,266
Adrián 4ºA,17:11:50.419,0
Adrián 4ºA,17:11:52.803,0
Adrián 4ºA,17:11:55.135,199
Adrián 4ºA,17:11:57.268,333
Adrián 4ºA,17:11:59.702,0
Adrián 4ºA,17:12:01.669,0
Adrián 4ºA,17:12:04.035,0
Adrián 4ºA,17:12:06.418,0
Adrián 4ºA,17:12:08.834,299
Adrián 4ºA,17:12:11.184,316
Adrián 4ºA,17:12:13.518,0
Adrián 4ºA,17:12:18.450,316
Adrián 4ºA,17:12:22.650,349
Adrián 4ºA,17:12:26.832,299
Adrián 4ºA,17:12:30.416,349
Adrián 4ºA,17:12:34.282,283
Adrián 4ºA,17:12:36.765,299
Adrián 4ºA,17:12:38.781,357
Adrián 4ºA,17:12:42.532,0
Adrián 4ºA,17:12:44.848,364
Adrián 4ºA,17:12:48.281,149
Adrián 4ºA,17:12:50.481,416
Adrián 4ºA,17:12:52.431,0
Adrián 4ºA,17:12:54.764,0
Adrián 4ºA,17:12:57.880,283
Adrián 4ºA,17:13:00.697,299
Adrián 4ºA,17:13:05.146,283
Adrián 4ºA,17:13:08.179,316
Adrián 4ºA,17:13:12.612,311
Adrián 4ºA,17:13:12.896,0
Adrián 4ºA,17:13:15.045,316
Adrián 4ºA,17:13:15.395,0
Adrián 4ºA,17:13:18.229,0
Adrián 4ºA,17:13:21.245,0
Adrián 4ºA,17:13:24.295,138
Adrián 4ºA,17:13:26.745,397
Adrián 4ºA,17:13:28.961,259
Adrián 4ºA,17:13:31.044,156
Adrián 4ºA,17:13:33.111,0
Adrián 4ºA,17:13:37.477,349
Adrián 4ºA,17:13:41.593,297
Adrián 4ºA,17:13:44.060,314
Adrián 4ºA,17:13:47.976,383
Adrián 4ºA,17:13:50.492,366
Adrián 4ºA,17:13:53.026,280
Adrián 4ºA,17:13:55.409,0
Adrián 4ºA,17:13:57.992,447
Adrián 4ºA,17:13:58.059,0
Adrián 4ºA,17:14:01.158,166
Adrián 4ºA,17:14:03.559,0
Adrián 4ºA,17:14:06.725,0
Adrián 4ºA,17:14:06.857,0
Adrián 4ºA,17:14:10.224,299
Adrián 4ºA,17:14:13.391,0
Adrián 4ºA,17:14:18.040,449
Adrián 4ºA,17:14:21.324,333
Adrián 4ºA,17:14:24.007,0
Adrián 4ºA,17:14:24.306,0
Adrián 4ºA,17:14:26.623,0
Adrián 4ºA,17:14:26.739,0
Adrián 4ºA,17:14:29.173,0
Adrián 4ºA,17:14:31.239,316
Adrián 4ºA,17:14:33.289,299
Adrián 4ºA,17:14:35.555,499
Adrián 4ºA,17:14:35.939,0
Adrián 4ºA,17:14:39.189,399
Adrián 4ºA,17:14:39.405,0
Adrián 4ºA,17:14:43.805,416
Adrián 4ºA,17:14:46.471,416
Adrián 4ºA,17:14:48.488,433
Adrián 4ºA,17:14:51.888,499
Adrián 4ºA,17:14:54.488,0
Adrián 4ºA,17:14:54.904,0
Adrián 4ºA,17:14:58.270,83
Adrián 4ºA,17:15:01.637,383
Adrián 4ºA,17:15:05.636,316
Adrián 4ºA,17:15:07.670,369
Adrián 4ºA,17:15:07.970,0
Adrián 4ºA,17:15:10.503,0
Adrián 4ºA,17:15:12.886,0
Adrián 4ºA,17:15:13.252,0
