Task,TapTime,Milliseconds
Alejandra,17:32:28.435,349
Alejandra,17:32:31.568,308
Alejandra,17:32:34.668,366
Alejandra,17:32:36.834,319
Alejandra,17:32:38.718,319
Alejandra,17:32:40.835,0
Alejandra,17:32:45.334,366
Alejandra,17:32:48.918,0
Alejandra,17:32:52.067,342
Alejandra,17:32:55.083,425
Alejandra,17:33:00.049,349
Alejandra,17:33:04.616,314
Alejandra,17:33:08.749,316
Alejandra,17:33:13.048,283
Alejandra,17:33:15.865,366
Alejandra,17:33:18.865,299
Alejandra,17:33:22.164,333
Alejandra,17:33:24.381,375
Alejandra,17:33:29.030,306
Alejandra,17:33:32.630,328
Alejandra,17:33:35.830,333
Alejandra,17:33:38.680,383
Alejandra,17:33:41.129,299
Alejandra,17:33:45.146,316
Alejandra,17:33:49.062,299
Alejandra,17:33:51.978,483
Alejandra,17:33:54.195,299
Alejandra,17:33:56.061,299
Alejandra,17:33:59.911,264
Alejandra,17:34:02.677,316
Alejandra,17:34:06.027,314
Alejandra,17:34:10.844,279
Alejandra,17:34:13.760,314
Alejandra,17:34:17.210,383
Alejandra,17:34:20.710,483
Alejandra,17:34:25.426,311
Alejandra,17:34:27.475,378
Alejandra,17:34:31.859,299
Alejandra,17:34:35.442,283
Alejandra,17:34:37.825,0
Alejandra,17:34:40.275,336
Alejandra,17:34:42.658,355
Alejandra,17:34:44.925,0
Alejandra,17:34:48.057,299
Alejandra,17:34:52.540,383
Alejandra,17:34:55.807,316
Alejandra,17:34:59.190,366
Alejandra,17:35:03.573,349
Alejandra,17:35:05.906,416
Alejandra,17:35:08.572,349
Alejandra,17:35:11.289,333
Alejandra,17:35:15.655,347
Alejandra,17:35:19.505,349
Alejandra,17:35:23.271,316
Alejandra,17:35:25.771,346
Alejandra,17:35:29.754,379
Alejandra,17:35:31.820,466
Alejandra,17:35:36.103,283
Alejandra,17:35:39.403,316
Alejandra,17:35:41.686,333
Alejandra,17:35:45.136,316
Alejandra,17:35:48.553,0
Alejandra,17:35:53.019,333
Alejandra,17:35:55.585,299
Alejandra,17:35:59.068,316
Alejandra,17:36:02.118,366
Alejandra,17:36:04.951,312
Alejandra,17:36:07.617,315
Alejandra,17:36:10.235,0
Alejandra,17:36:12.834,373
Alejandra,17:36:16.200,316
Alejandra,17:36:18.667,316
Alejandra,17:36:21.833,283
Alejandra,17:36:26.533,316
Alejandra,17:36:28.616,466
Alejandra,17:36:31.249,366
Alejandra,17:36:35.132,316
Alejandra,17:36:39.548,378
Alejandra,17:36:42.948,425
Alejandra,17:36:47.631,328
Alejandra,17:36:48.831,0
Alejandra,17:36:51.197,449
Alejandra,17:36:55.414,333
Alejandra,17:36:58.297,349
Alejandra,17:37:01.246,299
Alejandra,17:37:03.830,283
Alejandra,17:37:08.363,283
Alejandra,17:37:10.896,349
Alejandra,17:37:14.762,416
Alejandra,17:37:17.661,316
Alejandra,17:37:21.695,349
Alejandra,17:37:23.995,383
Alejandra,17:37:26.828,283
Alejandra,17:37:28.245,0
Alejandra,17:37:29.595,0
Alejandra,17:37:33.961,283
Alejandra,17:37:37.627,324
Alejandra,17:37:40.360,283
Alejandra,17:37:45.176,347
Alejandra,17:37:48.543,307
Alejandra,17:37:51.692,330
Alejandra,17:37:54.110,0
Alejandra,17:37:58.125,292
Alejandra,17:38:01.175,299
Alejandra,17:38:03.458,316
Alejandra,17:38:07.358,283
Alejandra,17:38:09.391,383
Alejandra,17:38:14.324,316
Alejandra,17:38:16.340,466
Alejandra,17:38:21.040,299
Alejandra,17:38:23.973,499
Alejandra,17:38:26.256,316
Alejandra,17:38:30.256,316
Alejandra,17:38:35.039,353
Alejandra,17:38:39.672,332
Alejandra,17:38:43.189,0
Alejandra,17:38:47.588,309
Alejandra,17:38:52.037,366
Alejandra,17:38:56.621,349
Alejandra,17:38:58.954,416
Alejandra,17:39:02.720,316
Alejandra,17:39:05.820,349
Alejandra,17:39:08.803,332
Alejandra,17:39:11.869,332
Alejandra,17:39:14.102,299
Alejandra,17:39:17.952,283
Alejandra,17:39:22.868,242
Alejandra,17:39:25.301,347
Alejandra,17:39:27.751,264
Alejandra,Sex,
Alejandra,Test Duration in seconds,421
Alejandra,Number of False Positives,11
Alejandra,Average response time ,337
Alejandra,Fastest response time ,242
Alejandra,Slowest response time ,499
Alejandra,Count of response time over 500ms ,0
