Task,TapTime,Milliseconds
mateo 5,18:08:19.916,949
mateo 5,18:08:22.282,456
mateo 5,18:08:25.116,290
mateo 5,18:08:27.899,295
mateo 5,18:08:30.949,0
mateo 5,18:08:34.582,296
mateo 5,18:08:38.065,299
mateo 5,18:08:40.198,460
mateo 5,18:08:42.715,0
mateo 5,18:08:44.998,297
mateo 5,18:08:48.398,314
mateo 5,18:08:49.014,0
mateo 5,18:08:51.030,297
mateo 5,18:08:52.264,0
mateo 5,18:08:54.930,17
mateo 5,18:08:58.447,296
mateo 5,18:09:01.263,245
mateo 5,18:09:03.596,295
mateo 5,18:09:05.864,0
mateo 5,18:09:08.013,0
mateo 5,18:09:10.296,299
mateo 5,18:09:12.513,383
mateo 5,18:09:15.179,0
mateo 5,18:09:17.929,0
mateo 5,18:09:22.812,318
mateo 5,18:09:26.711,316
mateo 5,18:09:31.045,316
mateo 5,18:09:35.327,380
mateo 5,18:09:37.644,430
mateo 5,18:09:41.077,283
mateo 5,18:09:44.177,297
mateo 5,18:09:47.010,0
mateo 5,18:09:49.910,289
mateo 5,18:09:52.893,0
mateo 5,18:09:55.643,0
mateo 5,18:09:58.476,0
mateo 5,18:10:00.876,416
mateo 5,18:10:03.842,286
mateo 5,18:10:07.725,266
mateo 5,18:10:08.892,0
mateo 5,18:10:11.308,316
mateo 5,18:10:11.758,0
mateo 5,18:10:14.475,0
mateo 5,18:10:19.341,283
mateo 5,18:10:23.924,266
mateo 5,18:10:28.273,349
mateo 5,18:10:31.190,332
mateo 5,18:10:31.473,0
mateo 5,18:10:34.823,0
mateo 5,18:10:35.906,0
mateo 5,18:10:39.190,0
mateo 5,18:10:43.589,333
mateo 5,18:10:48.605,330
mateo 5,18:10:52.823,432
mateo 5,18:10:52.837,0
mateo 5,18:10:52.887,0
mateo 5,18:10:52.905,0
mateo 5,18:10:55.488,432
mateo 5,18:10:57.922,328
mateo 5,18:10:58.155,0
mateo 5,18:11:01.488,299
mateo 5,18:11:06.270,283
mateo 5,18:11:08.870,349
mateo 5,18:11:13.003,283
mateo 5,18:11:15.970,316
mateo 5,18:11:18.686,266
mateo 5,18:11:20.803,326
mateo 5,18:11:23.719,304
mateo 5,18:11:26.069,387
mateo 5,18:11:28.386,0
mateo 5,18:11:30.585,333
mateo 5,18:11:31.719,0
mateo 5,18:11:34.369,316
mateo 5,18:11:37.302,382
mateo 5,18:11:40.068,464
mateo 5,18:11:43.385,0
mateo 5,18:11:47.851,399
mateo 5,18:11:50.867,749
mateo 5,18:11:54.917,380
mateo 5,18:11:58.984,332
mateo 5,18:12:03.400,319
mateo 5,18:12:06.966,358
mateo 5,18:12:11.149,331
mateo 5,18:12:14.699,0
mateo 5,18:12:17.399,0
mateo 5,18:12:22.298,316
mateo 5,18:12:27.265,388
mateo 5,18:12:29.764,764
mateo 5,18:12:32.565,0
mateo 5,18:12:32.964,0
mateo 5,18:12:35.314,533
mateo 5,18:12:37.780,666
mateo 5,18:12:42.580,377
mateo 5,18:12:45.330,516
mateo 5,18:12:49.780,599
mateo 5,18:12:50.113,0
mateo 5,18:12:54.096,449
mateo 5,18:12:57.796,349
mateo 5,18:13:00.995,682
mateo 5,18:13:04.595,549
mateo 5,18:13:05.545,0
mateo 5,18:13:07.779,0
mateo 5,18:13:11.045,0
mateo 5,18:13:14.011,1140
mateo 5,18:13:15.745,0
mateo 5,18:13:20.127,664
mateo 5,18:13:23.210,325
mateo 5,18:13:25.577,0
mateo 5,18:13:27.527,283
mateo 5,18:13:30.761,0
mateo 5,18:13:33.593,416
mateo 5,18:13:38.409,299
mateo 5,18:13:41.326,616
mateo 5,18:13:44.909,566
mateo 5,18:13:47.392,349
mateo 5,18:13:50.692,316
mateo 5,18:13:54.342,299
mateo 5,18:13:57.458,283
mateo 5,18:14:01.191,282
mateo 5,18:14:05.441,266
mateo 5,18:14:08.074,0
mateo 5,18:14:11.407,320
mateo 5,18:14:14.174,0
mateo 5,18:14:15.457,0
mateo 5,18:14:15.656,0
mateo 5,18:14:19.907,0
mateo 5,18:14:22.507,333
mateo 5,18:14:27.072,347
mateo 5,18:14:30.089,630
mateo 5,18:14:32.206,0
mateo 5,18:14:34.605,278
mateo 5,18:14:36.838,466
mateo 5,18:14:40.789,0
mateo 5,18:14:45.021,316
mateo 5,18:14:47.654,664
mateo 5,18:14:52.137,366
mateo 5,18:14:56.120,279
mateo 5,18:14:59.304,332
mateo 5,18:15:01.737,347
mateo 5,18:15:02.870,0
mateo 5,18:15:04.120,0
mateo 5,18:15:06.636,399
mateo 5,18:15:10.369,376
mateo 5,18:15:16.335,1766
mateo 5,18:15:18.585,416
mateo 5,Sex,
mateo 5,Test Duration in seconds,420
mateo 5,Number of False Positives,46
mateo 5,Average response time ,399
mateo 5,Fastest response time ,17
mateo 5,Slowest response time ,1766
mateo 5,Count of response time over 500ms ,16
