Task,TapTime,Milliseconds
pablo,17:41:55.061,366
pablo,17:41:57.345,0
pablo,17:41:59.511,349
pablo,17:42:03.877,316
pablo,17:42:08.393,366
pablo,17:42:10.926,802
pablo,17:42:13.093,533
pablo,17:42:16.559,53
pablo,17:42:19.526,299
pablo,17:42:22.709,283
pablo,17:42:24.958,399
pablo,17:42:26.959,0
pablo,17:42:29.375,0
pablo,17:42:31.442,349
pablo,17:42:34.891,384
pablo,17:42:37.974,283
pablo,17:42:41.257,33
pablo,17:42:43.974,349
pablo,17:42:47.790,366
pablo,17:42:51.257,0
pablo,17:42:54.173,325
pablo,17:42:58.222,306
pablo,17:43:01.472,249
pablo,17:43:03.939,0
pablo,17:43:06.289,0
pablo,17:43:10.422,333
pablo,17:43:14.354,305
pablo,17:43:18.971,349
pablo,17:43:21.270,516
pablo,17:43:23.270,249
pablo,17:43:26.404,0
pablo,17:43:30.070,316
pablo,17:43:32.803,449
pablo,17:43:34.670,0
pablo,17:43:36.220,0
pablo,17:43:41.219,380
pablo,17:43:43.768,416
pablo,17:43:47.202,316
pablo,17:43:50.401,316
pablo,17:43:52.735,383
pablo,17:43:54.951,266
pablo,17:43:58.117,299
pablo,17:44:00.685,0
pablo,17:44:02.818,0
pablo,17:44:05.417,0
pablo,17:44:08.517,0
pablo,17:44:13.150,376
pablo,17:44:15.549,503
pablo,17:44:18.082,399
pablo,17:44:20.816,333
pablo,17:44:23.399,0
pablo,17:44:27.049,366
pablo,17:44:29.182,472
pablo,17:44:33.481,333
pablo,17:44:35.898,416
pablo,17:44:36.581,0
pablo,17:44:39.630,349
pablo,17:44:43.464,285
pablo,17:44:45.797,352
pablo,17:44:49.147,333
pablo,17:44:52.763,397
pablo,17:44:56.179,410
pablo,17:44:58.546,722
pablo,17:45:01.046,347
pablo,17:45:03.945,257
pablo,17:45:06.295,366
pablo,17:45:09.146,0
pablo,17:45:13.161,1236
pablo,17:45:18.078,266
pablo,17:45:22.211,286
pablo,17:45:24.861,0
pablo,17:45:27.628,315
pablo,17:45:29.827,0
pablo,17:45:32.126,116
pablo,17:45:34.176,400
pablo,17:45:36.376,299
pablo,17:45:38.593,0
pablo,17:45:40.660,0
pablo,17:45:43.242,299
pablo,17:45:45.875,333
pablo,17:45:50.291,349
pablo,17:45:53.891,318
pablo,17:45:57.142,0
pablo,17:45:59.507,280
pablo,17:46:02.841,233
pablo,17:46:05.190,383
pablo,17:46:08.024,0
pablo,17:46:11.274,0
pablo,17:46:14.473,304
pablo,17:46:16.707,0
pablo,17:46:19.639,299
pablo,17:46:21.822,416
pablo,17:46:23.789,316
pablo,17:46:25.922,0
pablo,17:46:26.088,0
pablo,17:46:27.972,0
pablo,17:46:29.989,0
pablo,17:46:32.438,299
pablo,17:46:34.138,0
pablo,17:46:36.705,0
pablo,17:46:39.137,466
pablo,17:46:41.137,370
pablo,17:46:44.104,366
pablo,17:46:48.820,483
pablo,17:46:50.970,433
pablo,17:46:53.570,299
pablo,17:46:55.370,0
pablo,17:47:00.336,333
pablo,17:47:02.553,683
pablo,17:47:04.885,349
pablo,17:47:07.735,333
pablo,17:47:12.535,466
pablo,17:47:15.686,0
pablo,17:47:19.485,0
pablo,17:47:22.567,433
pablo,17:47:26.434,274
pablo,17:47:28.967,474
pablo,17:47:32.116,307
pablo,17:47:35.999,329
pablo,17:47:40.083,83
pablo,17:47:42.749,381
pablo,17:47:45.782,0
pablo,17:47:50.798,333
pablo,17:47:55.481,349
pablo,17:48:00.447,297
pablo,17:48:02.980,485
pablo,17:48:05.231,299
pablo,17:48:08.430,299
pablo,17:48:10.763,347
pablo,17:48:13.147,0
pablo,17:48:16.196,399
pablo,17:48:19.546,283
pablo,17:48:23.762,335
pablo,17:48:27.312,383
pablo,17:48:31.978,316
pablo,17:48:36.278,378
pablo,17:48:39.161,433
pablo,17:48:43.694,233
pablo,17:48:48.243,364
pablo,17:48:50.677,519
pablo,17:48:53.776,297
pablo,Sex,hombre
pablo,Age,10
pablo,Test Duration in seconds,420
pablo,Number of False Positives,35
pablo,Average response time ,361
pablo,Fastest response time ,33
pablo,Slowest response time ,1236
pablo,Count of response time over 500ms ,8
