Task,TapTime,Milliseconds
samuel,18:41:57.190,1199
samuel,18:41:59.290,341
samuel,18:42:01.773,316
samuel,18:42:05.324,0
samuel,18:42:09.840,383
samuel,18:42:13.072,349
samuel,18:42:17.972,383
samuel,18:42:22.321,399
samuel,18:42:26.788,333
samuel,18:42:29.721,599
samuel,18:42:33.937,349
samuel,18:42:38.871,363
samuel,18:42:41.587,399
samuel,18:42:44.086,366
samuel,18:42:47.653,333
samuel,18:42:51.786,332
samuel,18:42:56.352,299
samuel,18:42:59.852,399
samuel,18:43:02.985,333
samuel,18:43:06.269,0
samuel,18:43:08.668,283
samuel,18:43:11.718,333
samuel,18:43:13.984,399
samuel,18:43:17.468,0
samuel,18:43:22.617,966
samuel,18:43:25.750,366
samuel,18:43:28.766,449
samuel,18:43:31.566,316
samuel,18:43:35.799,329
samuel,18:43:40.715,376
samuel,18:43:43.865,416
samuel,18:43:48.365,357
samuel,18:43:50.331,391
samuel,18:43:52.814,366
samuel,18:43:57.181,399
samuel,18:43:59.997,316
samuel,18:44:04.313,308
samuel,18:44:07.796,349
samuel,18:44:12.279,366
samuel,18:44:14.762,564
samuel,18:44:19.645,369
samuel,18:44:22.362,418
samuel,18:44:24.645,333
samuel,18:44:29.145,366
samuel,18:44:33.628,306
samuel,18:44:37.578,333
samuel,18:44:42.510,332
samuel,18:44:47.110,266
samuel,18:44:51.627,0
samuel,18:44:54.542,366
samuel,18:44:59.292,294
samuel,18:45:02.509,311
samuel,18:45:06.092,430
samuel,18:45:08.841,466
samuel,18:45:13.541,299
samuel,18:45:16.958,383
samuel,18:45:22.607,1566
samuel,18:45:25.824,783
samuel,18:45:28.290,849
samuel,18:45:30.790,0
samuel,18:45:35.256,549
samuel,18:45:37.372,466
samuel,18:45:39.940,0
samuel,18:45:43.955,316
samuel,18:45:47.372,399
samuel,18:45:51.138,366
samuel,18:45:53.654,416
samuel,18:45:56.204,299
samuel,18:45:59.254,283
samuel,18:46:04.070,299
samuel,18:46:06.737,433
samuel,18:46:09.953,297
samuel,18:46:13.070,366
samuel,18:46:16.420,0
samuel,18:46:20.252,283
samuel,18:46:22.302,399
samuel,18:46:26.035,311
samuel,18:46:28.152,316
samuel,18:46:32.968,533
samuel,18:46:35.951,383
samuel,18:46:38.784,277
samuel,18:46:42.317,416
samuel,18:46:44.600,499
samuel,18:46:48.950,249
samuel,18:46:52.633,307
samuel,18:46:55.466,433
samuel,18:46:57.916,349
samuel,18:47:00.633,0
samuel,18:47:02.999,633
samuel,18:47:04.932,366
samuel,18:47:09.632,399
samuel,18:47:12.632,333
samuel,18:47:17.281,449
samuel,18:47:21.131,366
samuel,18:47:27.180,1549
samuel,18:47:27.430,0
samuel,18:47:30.163,399
samuel,18:47:34.180,416
samuel,18:47:39.163,447
samuel,18:47:42.246,416
samuel,18:47:46.529,366
samuel,18:47:51.328,433
samuel,18:47:56.062,480
samuel,18:47:59.844,483
samuel,18:48:04.244,330
samuel,18:48:09.077,297
samuel,18:48:12.927,433
samuel,18:48:16.527,0
samuel,18:48:19.710,0
samuel,18:48:21.726,0
samuel,18:48:26.425,399
samuel,18:48:29.725,344
samuel,18:48:34.108,397
samuel,18:48:38.874,367
samuel,18:48:41.241,616
samuel,18:48:44.474,316
samuel,18:48:48.157,314
samuel,18:48:52.257,499
samuel,18:48:54.490,599
samuel,18:48:57.290,266
samuel,Sex,
samuel,Test Duration in seconds,422
samuel,Number of False Positives,12
samuel,Average response time ,421
samuel,Fastest response time ,249
samuel,Slowest response time ,1566
samuel,Count of response time over 500ms ,13
