iter	Logloss
0	0.6646515175
1	0.6501799689
2	0.6382089544
3	0.6215257291
4	0.597901309
5	0.5821436423
6	0.5635282022
7	0.5474036181
8	0.523601532
9	0.5132964452
10	0.5036093041
11	0.4897295281
12	0.4755481437
13	0.4666663982
14	0.4576415662
15	0.4493458359
16	0.4417290864
17	0.429733453
18	0.4187635846
19	0.4138101648
20	0.4034242277
21	0.3922836869
22	0.3826451831
23	0.3737062525
24	0.3655003795
25	0.3589322125
26	0.3513029593
27	0.3436110461
28	0.3366525791
29	0.3318013085
30	0.3237657194
31	0.3158991425
32	0.3090159805
33	0.30380136
34	0.2993040085
35	0.2950572438
36	0.2881137707
37	0.2847419138
38	0.27920232
39	0.2748192681
40	0.2683018225
41	0.264040841
42	0.2592162733
43	0.2546857551
44	0.2500466241
45	0.2442024019
46	0.2389142072
47	0.2361606669
48	0.2303761023
49	0.2261184763
50	0.2225395838
51	0.2185652874
52	0.2145074209
53	0.2122035203
54	0.208973761
55	0.203834675
56	0.2028883828
57	0.2000315631
58	0.1966564744
59	0.1934341501
60	0.189382977
61	0.1847898342
62	0.1829979685
63	0.1807296541
64	0.1783293971
65	0.1761838418
66	0.1727484597
67	0.169841731
68	0.1657559077
69	0.1635364603
70	0.1613853243
71	0.1584625951
72	0.155362818
73	0.1537070804
74	0.1510143103
75	0.1486913893
76	0.1476620215
77	0.1448437638
78	0.1412164635
79	0.1385793774
80	0.1355115749
81	0.1342571223
82	0.1315821895
83	0.1292748981
84	0.1263932122
85	0.1245640031
86	0.1225002872
87	0.1206353682
88	0.1173214559
89	0.1160928585
90	0.1146104954
91	0.1119897366
92	0.1104130922
93	0.1089783421
94	0.1071817787
95	0.1046759199
96	0.1024058836
97	0.1014770402
98	0.1000407713
99	0.09786672062
