iter	Passed	Remaining
0	3	360
1	6	311
2	10	323
3	12	302
4	14	284
5	17	271
6	19	261
7	21	252
8	24	243
9	26	236
10	28	230
11	30	225
12	32	220
13	35	216
14	37	212
15	39	207
16	41	203
17	43	200
18	46	196
19	48	192
20	50	189
21	52	185
22	54	182
23	56	179
24	58	175
25	60	172
26	62	169
27	64	167
28	67	164
29	69	161
30	71	158
31	73	155
32	75	152
33	77	149
34	79	147
35	81	144
36	83	141
37	85	139
38	87	136
39	89	134
40	91	131
41	93	129
42	95	126
43	97	124
44	99	121
45	101	119
46	103	117
47	105	114
48	107	112
49	110	110
50	112	107
51	114	105
52	116	103
53	118	100
54	120	98
55	122	96
56	124	93
57	126	91
58	128	89
59	130	87
60	132	84
61	134	82
62	136	80
63	138	78
64	140	75
65	143	73
66	145	71
67	147	69
68	149	67
69	151	64
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	165	49
77	167	47
78	169	45
79	171	42
80	173	40
81	176	38
82	178	36
83	180	34
84	182	32
85	184	30
86	187	27
87	189	25
88	191	23
89	194	21
90	196	19
91	198	17
92	200	15
93	202	12
94	204	10
95	206	8
96	208	6
97	210	4
98	213	2
99	215	0
